u,v
GH_100225,GH_1897580
GH_100225,GH_271879
GH_100225,GH_527405
GH_100225,GH_9628127
GH_10131838,GH_1327929
GH_10131838,GH_3477005
GH_10131838,GH_6549865
GH_10131838,GH_9697073
GH_10182850,GH_12110148
GH_10182850,GH_12213688
GH_10182850,GH_4431464
GH_10182850,GH_4968089
GH_10182850,GH_51697751
GH_10182850,GH_5916265
GH_10584987,GH_179693
GH_10584987,GH_31594588
GH_106354,GH_11406615
GH_106354,GH_125871
GH_106354,GH_168013
GH_106354,GH_2228703
GH_106354,GH_2266960
GH_106354,GH_51697751
GH_106354,GH_5764929
GH_106354,GH_5840967
GH_106354,GH_690024
GH_106354,GH_6949588
GH_10776453,GH_51697751
GH_11406615,GH_125871
GH_11406615,GH_168013
GH_11406615,GH_2228703
GH_11406615,GH_2266960
GH_11406615,GH_51697751
GH_11406615,GH_5764929
GH_11406615,GH_5840967
GH_11406615,GH_690024
GH_11406615,GH_6949588
GH_11623115,GH_51697751
GH_11730222,GH_162756
GH_11730222,GH_3249347
GH_11730222,GH_33560316
GH_11730222,GH_360543
GH_11730222,GH_7667538
GH_11730222,GH_7825140
GH_120824,GH_13810377
GH_120824,GH_33856227
GH_12110148,GH_12213688
GH_12110148,GH_4431464
GH_12110148,GH_4968089
GH_12110148,GH_51697751
GH_12110148,GH_5916265
GH_12213688,GH_4431464
GH_12213688,GH_4968089
GH_12213688,GH_51697751
GH_12213688,GH_5916265
GH_12372473,GH_7678857
GH_125871,GH_168013
GH_125871,GH_2228703
GH_125871,GH_2266960
GH_125871,GH_51697751
GH_125871,GH_5764929
GH_125871,GH_5840967
GH_125871,GH_690024
GH_125871,GH_6949588
GH_1314356,GH_2442739
GH_1314356,GH_315569
GH_1314356,GH_3179415
GH_1314356,GH_33856227
GH_1314356,GH_36295914
GH_1314356,GH_51697753
GH_13233893,GH_51963612
GH_1327929,GH_3477005
GH_1327929,GH_6549865
GH_1327929,GH_9697073
GH_13643952,GH_43761397
GH_13643952,GH_56255770
GH_13810377,GH_31176371
GH_13810377,GH_33856227
GH_13810377,GH_40032644
GH_13810377,GH_47098907
GH_13810377,GH_51697751
GH_13810377,GH_51697753
GH_13810377,GH_51702498
GH_149464,GH_1921968
GH_149464,GH_235439
GH_149464,GH_314639
GH_149464,GH_3531170
GH_149464,GH_367291
GH_149464,GH_37553385
GH_149464,GH_40557368
GH_149464,GH_466518
GH_149464,GH_48103450
GH_149464,GH_51589803
GH_149464,GH_51697751
GH_149464,GH_51734854
GH_149464,GH_606908
GH_149464,GH_650183
GH_149464,GH_6943680
GH_149464,GH_76005
GH_149464,GH_99701
GH_15,GH_3066619
GH_15,GH_51697751
GH_15,GH_56160681
GH_15,GH_56857483
GH_15,GH_56857484
GH_15,GH_56857485
GH_15,GH_56857486
GH_15,GH_56857488
GH_15,GH_56857491
GH_15,GH_56857506
GH_162756,GH_3249347
GH_162756,GH_33560316
GH_162756,GH_360543
GH_162756,GH_7667538
GH_162756,GH_7825140
GH_168013,GH_2228703
GH_168013,GH_2266960
GH_168013,GH_51697751
GH_168013,GH_5764929
GH_168013,GH_5840967
GH_168013,GH_690024
GH_168013,GH_6949588
GH_1748315,GH_44319348
GH_1748315,GH_725101
GH_1752368,GH_40146756
