u,v,co_projects,co_commit_weight
GH_100225,GH_1897580,7,176
GH_100225,GH_271879,7,1809
GH_100225,GH_527405,7,481
GH_100225,GH_9628127,7,1971
GH_10131838,GH_1327929,2,35
GH_10131838,GH_3477005,2,38
GH_10131838,GH_6549865,2,63
GH_10131838,GH_9697073,3,86
GH_10182850,GH_12110148,8,152
GH_10182850,GH_12213688,8,152
GH_10182850,GH_4431464,8,152
GH_10182850,GH_4968089,8,152
GH_10182850,GH_51697751,8,114
GH_10182850,GH_5916265,8,152
GH_10584987,GH_179693,4,60
GH_10584987,GH_31594588,4,60
GH_106354,GH_11406615,5,282
GH_106354,GH_125871,4,287
GH_106354,GH_168013,5,304
GH_106354,GH_2228703,4,298
GH_106354,GH_2266960,3,129
GH_106354,GH_51697751,1,10
GH_106354,GH_5764929,3,100
GH_106354,GH_5840967,3,40
GH_106354,GH_690024,4,281
GH_106354,GH_6949588,4,300
GH_10776453,GH_51697751,1,10
GH_11406615,GH_125871,4,312
GH_11406615,GH_168013,5,279
GH_11406615,GH_2228703,5,318
GH_11406615,GH_2266960,4,140
GH_11406615,GH_51697751,1,10
GH_11406615,GH_5764929,3,100
GH_11406615,GH_5840967,3,40
GH_11406615,GH_690024,4,312
GH_11406615,GH_6949588,4,305
GH_11623115,GH_51697751,2,30
GH_11730222,GH_162756,10,190
GH_11730222,GH_3249347,11,363
GH_11730222,GH_33560316,10,150
GH_11730222,GH_360543,11,363
GH_11730222,GH_7667538,10,180
GH_11730222,GH_7825140,10,350
GH_120824,GH_13810377,2,85
GH_120824,GH_33856227,3,374
GH_12110148,GH_12213688,8,152
GH_12110148,GH_4431464,8,152
GH_12110148,GH_4968089,8,152
GH_12110148,GH_51697751,8,114
GH_12110148,GH_5916265,8,152
GH_12213688,GH_4431464,8,192
GH_12213688,GH_4968089,8,192
GH_12213688,GH_51697751,8,114
GH_12213688,GH_5916265,8,192
GH_12372473,GH_7678857,4,356
GH_125871,GH_168013,5,297
GH_125871,GH_2228703,4,331
GH_125871,GH_2266960,3,129
GH_125871,GH_51697751,1,10
GH_125871,GH_5764929,3,100
GH_125871,GH_5840967,3,40
GH_125871,GH_690024,4,328
GH_125871,GH_6949588,5,339
GH_1314356,GH_2442739,4,152
GH_1314356,GH_315569,4,152
GH_1314356,GH_3179415,3,63
GH_1314356,GH_33856227,4,152
GH_1314356,GH_36295914,4,103
GH_1314356,GH_51697753,4,152
GH_13233893,GH_51963612,3,68
GH_1327929,GH_3477005,4,93
GH_1327929,GH_6549865,4,116
GH_1327929,GH_9697073,5,151
GH_13643952,GH_43761397,4,162
GH_13643952,GH_56255770,4,136
GH_13810377,GH_31176371,4,50
GH_13810377,GH_33856227,3,123
GH_13810377,GH_40032644,2,53
GH_13810377,GH_47098907,1,10
GH_13810377,GH_51697751,6,80
GH_13810377,GH_51697753,4,110
GH_13810377,GH_51702498,2,47
GH_149464,GH_1921968,5,315
GH_149464,GH_235439,4,124
GH_149464,GH_314639,4,160
GH_149464,GH_3531170,4,143
GH_149464,GH_367291,5,198
GH_149464,GH_37553385,4,293
GH_149464,GH_40557368,4,92
GH_149464,GH_466518,5,381
GH_149464,GH_48103450,4,144
GH_149464,GH_51589803,4,89
GH_149464,GH_51697751,3,191
GH_149464,GH_51734854,4,398
GH_149464,GH_606908,4,145
GH_149464,GH_650183,4,119
GH_149464,GH_6943680,5,207
GH_149464,GH_76005,5,404
GH_149464,GH_99701,5,682
GH_15,GH_3066619,1,100
GH_15,GH_51697751,1,12
GH_15,GH_56160681,4,41
GH_15,GH_56857483,4,41
GH_15,GH_56857484,4,41
GH_15,GH_56857485,4,40
GH_15,GH_56857486,4,41
GH_15,GH_56857488,4,41
GH_15,GH_56857491,4,41
GH_15,GH_56857506,4,41
GH_162756,GH_3249347,10,190
GH_162756,GH_33560316,10,144
GH_162756,GH_360543,10,190
GH_162756,GH_7667538,10,166
GH_162756,GH_7825140,10,190
GH_168013,GH_2228703,5,345
GH_168013,GH_2266960,3,129
GH_168013,GH_51697751,1,10
GH_168013,GH_5764929,3,100
GH_168013,GH_5840967,3,40
GH_168013,GH_690024,4,278
GH_168013,GH_6949588,6,363
GH_1748315,GH_44319348,4,329
GH_1748315,GH_725101,4,124
GH_1752368,GH_40146756,2,28
GH_1754039,GH_32145654,8,96
GH_1754039,GH_33856227,8,96
GH_179693,GH_31594588,4,68
GH_1840429,GH_2105414,7,231
GH_1840429,GH_2188014,7,175
GH_1840429,GH_220289,7,140
GH_1840429,GH_2567901,6,65
GH_1840429,GH_35628131,7,161
GH_1840429,GH_51697753,7,390
GH_1840429,GH_5386272,7,404
GH_1840429,GH_62143,7,252
GH_1840429,GH_7610653,7,429
GH_1840429,GH_76171,7,429
GH_1840429,GH_788457,7,429
GH_18556,GH_37761268,1,77
GH_18556,GH_51697753,2,441
GH_18556,GH_9336666,4,279
GH_1897580,GH_271879,7,176
GH_1897580,GH_527405,7,176
GH_1897580,GH_9628127,7,176
GH_1921968,GH_235439,4,124
GH_1921968,GH_314639,4,158
GH_1921968,GH_3531170,4,143
GH_1921968,GH_367291,5,196
GH_1921968,GH_37553385,4,271
GH_1921968,GH_40557368,4,92
GH_1921968,GH_466518,5,296
GH_1921968,GH_48103450,4,144
GH_1921968,GH_51589803,4,83
GH_1921968,GH_51697751,3,148
GH_1921968,GH_51734854,4,306
GH_1921968,GH_606908,4,145
GH_1921968,GH_650183,4,119
GH_1921968,GH_6943680,5,206
GH_1921968,GH_76005,5,326
GH_1921968,GH_99701,5,334
GH_2105414,GH_2188014,7,175
GH_2105414,GH_220289,7,140
GH_2105414,GH_2567901,6,65
GH_2105414,GH_35628131,7,161
GH_2105414,GH_51697753,7,231
GH_2105414,GH_5386272,7,231
