global_id,dataset,user,number_of_selected_projects,total_commits_in_qualifying_projects,expertise_raw,log_expertise,expertise_z,leadership_raw,log_leadership,leadership_z,expertise_raw_shared,leadership_raw_shared,expertise_z_shared,leadership_z_shared,mean_commits_per_qualifying_project,median_commits_per_qualifying_project,minimum_commits_in_qualifying_project,maximum_commits_in_qualifying_project,historical_same_language_projects,historical_same_language_commits,followers_before_window,profile_login,profile_company,profile_created_at,profile_type,profile_fake,profile_deleted,profile_long,profile_lat,profile_country_code,profile_state,profile_city,profile_location
GH_100225,GH,100225,7,2363,4.0,1.6094379124341003,-0.32216654050246735,128.0,4.859812404361672,1.3417383246000973,4.0,128.0,-0.32216654050246735,1.3417383246000973,337.57142857142856,338.0,334,345,4,277,128,jleyva,N,2011-02-13 10:11:52,USR,0,0,-3.70035000,40.41669000,ES,N,N,Spain
GH_1012303,GH,1012303,10,410,5.0,1.791759469228055,-0.2291459893878989,4.0,1.6094379124341003,-0.11391292497773711,5.0,4.0,-0.2291459893878989,-0.11391292497773711,41.0,30.5,10,151,5,171,4,naokikimura,@moneyforward ,2012-11-10 08:35:21,USR,0,0,139.74946000,35.68696000,JP,N,N,Japan
GH_10131838,GH,10131838,4,167,27.0,3.332204510175204,0.5567898548992699,0.0,0.0,-0.8346853511000264,27.0,0.0,0.5567898548992699,-0.8346853511000264,41.75,31.5,13,91,27,283,0,mcnielsen,N,2015-09-23 15:07:35,USR,0,0,0.00000000,0.00000000,N,N,N,N
GH_10182850,GH,10182850,8,152,8.0,2.1972245773362196,-0.0222774847679332,1944.0,7.573017256052546,2.5568229379371594,8.0,1944.0,-0.0222774847679332,2.5568229379371594,19.0,19.0,19,19,8,121,1944,unicodeveloper,N,2012-12-02 20:53:16,USR,0,0,3.38416000,6.49311000,NG,Lagos,Lagos Mainland,"Lagos, Nigeria"
GH_10330243,GH,10330243,6,271,3.0,1.3862943611198906,-0.43601449400786446,2.0,1.0986122886681096,-0.34268162821425957,3.0,2.0,-0.43601449400786446,-0.34268162821425957,45.166666666666664,35.5,14,102,3,45,2,donkeykong91,N,2015-10-31 00:21:30,USR,0,0,-117.98102000,33.75513000,US,CA,Westminster,"Westminster, CA"
GH_10540545,GH,10540545,8,268,8.0,2.1972245773362196,-0.0222774847679332,4.0,1.6094379124341003,-0.11391292497773711,8.0,4.0,-0.0222774847679332,-0.11391292497773711,33.5,36.5,10,50,8,134,4,Sansossio,N,2015-11-16 18:41:27,USR,0,0,-3.70035000,40.41669000,ES,Community of Madrid,Madrid,"Madrid, Spain"
GH_10584987,GH,10584987,4,60,39.0,3.6888794541139363,0.738765592915998,104.0,4.653960350157523,1.249549316633593,39.0,104.0,0.738765592915998,1.249549316633593,15.0,15.0,15,15,39,1289,104,Toxicable,N,2015-07-24 22:09:18,USR,0,0,0.00000000,0.00000000,N,N,N,N
GH_106354,GH,106354,6,327,219.0,5.393627546352361,1.60852893763523,406.0,6.008813185442595,1.8563080847616356,219.0,406.0,1.60852893763523,1.8563080847616356,54.5,37.5,10,170,219,8326,406,joaomoreno,Microsoft,2008-08-28 13:00:17,USR,0,0,8.53803000,47.36902000,CH,Zurich,Zurich,"Zurich, Switzerland"
GH_1065732,GH,1065732,5,550,1.0,0.6931471805599453,-0.7896585384806861,62.0,4.143134726391533,1.0207806133970707,1.0,62.0,-0.7896585384806861,1.0207806133970707,110.0,154.0,24,168,1,16,62,rowanc1,@iooxa,2011-07-13 15:34:12,USR,0,0,-86.24364000,35.87144000,US,TN,Murfreesboro,The Future
GH_10776453,GH,10776453,5,135,17.0,2.8903717578961645,0.3313665597048884,4.0,1.6094379124341003,-0.11391292497773711,17.0,4.0,0.3313665597048884,-0.11391292497773711,27.0,23.0,14,43,17,87,4,bezael,[DominiCode],2014-04-26 15:58:38,USR,0,0,2.16992000,41.38792000,ES,Cataluña,Barcelona,Barcelona
