u,v,co_projects,co_commit_weight
100225,1897580,7,176
100225,271879,7,1809
100225,527405,7,481
100225,9628127,7,1971
10131838,1327929,2,35
10131838,3477005,2,38
10131838,6549865,2,63
10131838,9697073,3,86
10182850,12110148,8,152
10182850,12213688,8,152
10182850,4431464,8,152
10182850,4968089,8,152
10182850,51697751,8,114
10182850,5916265,8,152
10584987,179693,4,60
10584987,31594588,4,60
106354,11406615,5,282
106354,125871,4,287
106354,168013,5,304
106354,2228703,4,298
106354,2266960,3,129
106354,51697751,1,10
106354,5764929,3,100
106354,5840967,3,40
106354,690024,4,281
106354,6949588,4,300
10776453,51697751,1,10
11406615,125871,4,312
11406615,168013,5,279
11406615,2228703,5,318
11406615,2266960,4,140
11406615,51697751,1,10
11406615,5764929,3,100
11406615,5840967,3,40
11406615,690024,4,312
11406615,6949588,4,305
11623115,51697751,2,30
11730222,162756,10,190
11730222,3249347,11,363
11730222,33560316,10,150
11730222,360543,11,363
11730222,7667538,10,180
11730222,7825140,10,350
120824,13810377,2,85
120824,33856227,3,374
12110148,12213688,8,152
12110148,4431464,8,152
12110148,4968089,8,152
12110148,51697751,8,114
12110148,5916265,8,152
12213688,4431464,8,192
12213688,4968089,8,192
12213688,51697751,8,114
12213688,5916265,8,192
12372473,7678857,4,356
125871,168013,5,297
125871,2228703,4,331
125871,2266960,3,129
125871,51697751,1,10
125871,5764929,3,100
125871,5840967,3,40
125871,690024,4,328
125871,6949588,5,339
1314356,2442739,4,152
1314356,315569,4,152
1314356,3179415,3,63
1314356,33856227,4,152
1314356,36295914,4,103
1314356,51697753,4,152
13233893,51963612,3,68
1327929,3477005,4,93
1327929,6549865,4,116
1327929,9697073,5,151
13643952,43761397,4,162
13643952,56255770,4,136
13810377,31176371,4,50
13810377,33856227,3,123
13810377,40032644,2,53
13810377,47098907,1,10
13810377,51697751,6,80
13810377,51697753,4,110
13810377,51702498,2,47
149464,1921968,5,315
149464,235439,4,124
149464,314639,4,160
149464,3531170,4,143
149464,367291,5,198
149464,37553385,4,293
149464,40557368,4,92
149464,466518,5,381
149464,48103450,4,144
149464,51589803,4,89
149464,51697751,3,191
149464,51734854,4,398
149464,606908,4,145
149464,650183,4,119
149464,6943680,5,207
149464,76005,5,404
149464,99701,5,682
15,3066619,1,100
15,51697751,1,12
15,56160681,4,41
15,56857483,4,41
15,56857484,4,41
15,56857485,4,40
15,56857486,4,41
15,56857488,4,41
15,56857491,4,41
15,56857506,4,41
162756,3249347,10,190
162756,33560316,10,144
162756,360543,10,190
162756,7667538,10,166
162756,7825140,10,190
168013,2228703,5,345
168013,2266960,3,129
168013,51697751,1,10
168013,5764929,3,100
168013,5840967,3,40
168013,690024,4,278
168013,6949588,6,363
1748315,44319348,4,329
1748315,725101,4,124
1752368,40146756,2,28
1754039,32145654,8,96
1754039,33856227,8,96
179693,31594588,4,68
1840429,2105414,7,231
1840429,2188014,7,175
1840429,220289,7,140
1840429,2567901,6,65
1840429,35628131,7,161
1840429,51697753,7,390
1840429,5386272,7,404
1840429,62143,7,252
1840429,7610653,7,429
1840429,76171,7,429
1840429,788457,7,429
18556,37761268,1,77
18556,51697753,2,441
18556,9336666,4,279
1897580,271879,7,176
1897580,527405,7,176
1897580,9628127,7,176
1921968,235439,4,124
1921968,314639,4,158
1921968,3531170,4,143
1921968,367291,5,196
1921968,37553385,4,271
1921968,40557368,4,92
1921968,466518,5,296
1921968,48103450,4,144
1921968,51589803,4,83
1921968,51697751,3,148
1921968,51734854,4,306
1921968,606908,4,145
1921968,650183,4,119
1921968,6943680,5,206
1921968,76005,5,326
1921968,99701,5,334
2105414,2188014,7,175
2105414,220289,7,140
2105414,2567901,6,65
2105414,35628131,7,161
2105414,51697753,7,231
2105414,5386272,7,231
2105414,62143,7,231
2105414,7610653,7,231
2105414,76171,7,231
2105414,788457,7,231
212879,51697751,1,17
218355,51697751,1,10
2188014,220289,7,140
2188014,2567901,6,65
2188014,35628131,7,161
2188014,51697753,7,175
2188014,5386272,7,175
2188014,62143,7,175
2188014,7610653,7,175
2188014,76171,7,175
2188014,788457,7,175
220289,2567901,6,65
220289,35628131,7,140
220289,51697753,7,140
220289,5386272,7,140
220289,62143,7,140
220289,7610653,7,140
220289,76171,7,140
220289,788457,7,140
2228703,2266960,4,140
2228703,51697519,1,13
2228703,51697751,1,10
2228703,5764929,3,100
2228703,5840967,3,40
2228703,690024,3,340
2228703,6949588,4,394
2246720,40032644,1,15
2266960,51697751,1,10
2266960,5764929,3,91
2266960,5840967,3,40
2266960,690024,3,129
2266960,6949588,3,129
235439,314639,4,120
235439,3531170,4,114
235439,367291,4,123
235439,37553385,4,124
235439,40557368,4,92
235439,466518,4,124
235439,48103450,4,106
235439,51589803,3,70
235439,51697751,3,80
235439,51734854,4,124
235439,606908,4,116
235439,650183,4,114
235439,6943680,4,124
235439,76005,4,124
235439,99701,4,124
239749,51697751,7,77
2442739,315569,4,353
2442739,3179415,3,63
2442739,33856227,4,387
2442739,36295914,4,103
2442739,51697753,4,387
249151,4032239,4,153
2567901,35628131,6,65
2567901,51697753,6,65
2567901,5386272,6,65
2567901,62143,6,65
2567901,7610653,6,65
2567901,76171,6,65
2567901,788457,6,65
2710410,51697751,5,90
2710410,6059,14,424
271879,527405,7,481
271879,9628127,7,1809
2864361,33856227,3,225
2995258,31944061,4,211
2995258,32956985,4,212
30351173,51697753,1,22
3066619,51697751,1,12
31004,40987195,13,145
31176371,51697751,1,11
31178340,51697753,7,194
31178340,8554353,1,62
31230251,51697753,2,126
31264752,54132545,5,70
31264752,8036665,9,585
314639,3531170,3,115
314639,367291,4,151
314639,37553385,3,138
314639,40557368,3,78
314639,466518,4,160
314639,48103450,3,118
314639,51589803,4,85
314639,51697751,2,65
314639,51734854,3,148
314639,606908,3,122
314639,650183,3,105
314639,6943680,4,147
314639,76005,4,160
314639,99701,4,160
315569,3179415,3,63
315569,33856227,4,353
315569,36295914,4,103
315569,51697753,4,353
3179415,33856227,3,63
3179415,36295914,3,63
3179415,51697753,3,63
31944061,32956985,4,210
31944061,9478906,2,31
32145654,33856227,9,371
3249347,33560316,10,150
3249347,360543,11,1064
3249347,7667538,10,180
3249347,7825140,10,990
3322716,51083036,3,267
33353573,3832251,1,12
33353573,5116436,1,18
33560316,360543,10,150
33560316,7667538,10,150
33560316,7825140,10,150
33856227,36295914,5,120
33856227,40032644,7,197
33856227,48494734,1,126
33856227,50449700,1,68
33856227,51697519,39,2105
33856227,51697751,16,551
33856227,51697753,12,1184
33856227,53783540,1,24
33856227,55887580,2,128
33856227,6595467,13,884
33856227,9478906,1,25
3477005,6549865,3,91
3477005,9697073,4,101
3531170,367291,4,143
3531170,37553385,4,143
3531170,40557368,4,92
3531170,466518,4,143
3531170,48103450,4,135
3531170,51589803,3,62
3531170,51697751,3,93
3531170,51734854,4,143
3531170,606908,4,136
3531170,650183,4,115
3531170,6943680,4,143
3531170,76005,4,143
3531170,99701,4,143
35628131,51697753,8,193
35628131,5386272,7,161
35628131,62143,7,161
35628131,7610653,7,161
35628131,76171,7,161
35628131,788457,7,161
360543,7667538,10,180
360543,7825140,10,1341
36295914,51697519,4,275
36295914,51697753,4,103
36341192,43610,4,153
36341192,50215413,2,36
36341192,51706678,2,53
36341192,6139690,2,161
367291,37553385,4,185
367291,40557368,4,92
367291,466518,5,198
367291,48103450,4,144
367291,51589803,4,85
367291,51697751,3,103
367291,51734854,4,186
367291,606908,4,144
367291,650183,4,119
367291,6943680,5,194
367291,76005,5,198
367291,99701,5,198
37553385,40557368,4,92
37553385,466518,4,293
37553385,48103450,4,144
37553385,51589803,3,73
37553385,51697751,3,157
37553385,51734854,4,293
37553385,606908,4,145
37553385,650183,4,119
