author_id,project_id,commit_count,meets_minimum_commits
100225,158274333,345,1
100225,159086947,338,1
100225,159169588,340,1
100225,160126568,338,1
100225,160172193,334,1
100225,162984505,334,1
100225,163096896,334,1
1012303,160105357,27,1
1012303,160276710,34,1
1012303,162218348,151,1
1012303,162273377,55,1
1012303,162357761,52,1
1012303,162548416,44,1
1012303,162903167,11,1
1012303,162930698,14,1
1012303,163010915,12,1
1012303,163013018,10,1
10131838,156469375,44,1
10131838,156979745,19,1
10131838,157477481,13,1
10131838,157628027,91,1
10182850,157654384,19,1
10182850,158562111,19,1
10182850,158655588,19,1
10182850,158737324,19,1
10182850,158817130,19,1
10182850,159512884,19,1
10182850,159560207,19,1
10182850,159701010,19,1
10330243,157002468,33,1
10330243,157020649,102,1
10330243,157608977,38,1
10330243,159124598,14,1
10330243,159275221,28,1
10330243,159290125,56,1
10540545,155132144,41,1
10540545,157180522,42,1
10540545,159116363,45,1
10540545,159186443,32,1
10540545,159747091,50,1
10540545,160583935,22,1
10540545,161926463,26,1
10540545,162914908,10,1
10584987,157770700,15,1
10584987,158687434,15,1
10584987,158948687,15,1
10584987,159487130,15,1
106354,154529585,10,1
106354,156307075,12,1
106354,156321283,170,1
106354,157213502,17,1
106354,160016419,60,1
106354,160188338,58,1
1065732,156138763,163,1
1065732,156139274,154,1
1065732,156140543,41,1
1065732,159154104,24,1
1065732,159459786,168,1
10776453,158137861,23,1
10776453,160152564,14,1
10776453,161173857,15,1
10776453,161813581,43,1
10776453,162753413,40,1
10928391,159172525,42,1
10928391,159173549,43,1
10928391,159174728,42,1
10928391,159191320,42,1
10928391,159191419,42,1
10928391,159191427,42,1
10928391,159191522,42,1
10928391,159191634,42,1
10928391,159191764,42,1
10928391,159191891,42,1
10928391,159238681,38,1
10928391,159268890,78,1
10928391,159270197,73,1
10928391,159367981,42,1
10928391,159781554,38,1
10928391,159795271,42,1
10928391,159968662,76,1
10928391,159968700,74,1
10928391,159982200,37,1
10928391,160139852,45,1
10928391,160145808,40,1
10928391,160288283,40,1
10928391,161490237,153,1
10928391,162288641,109,1
11024749,154819392,29,1
11024749,157087835,11,1
11024749,157299693,28,1
11024749,158871064,21,1
11369509,160860176,95,1
11369509,161973036,20,1
11369509,162322594,36,1
11369509,162668344,30,1
11406615,154493104,15,1
11406615,154529585,10,1
11406615,156307075,15,1
11406615,156321283,142,1
11406615,160016419,75,1
11406615,160188338,80,1
1157216,157482801,342,1
1157216,159791900,17,1
1157216,160014062,17,1
1157216,160158330,12,1
1157216,160310779,45,1
1157216,160558918,10,1
1157216,160674129,17,1
1157216,160695503,15,1
1157216,161419212,27,1
1157216,161486711,21,1
1157216,162464346,15,1
11623115,156770720,12,1
11623115,156888537,17,1
11623115,158567062,17,1
11623115,158587025,17,1
11623115,159419361,17,1
11730222,155370370,35,1
11730222,157489796,35,1
11730222,158308459,35,1
11730222,158559407,35,1
11730222,158872793,35,1
11730222,159146263,35,1
11730222,159382515,35,1
11730222,159482029,35,1
11730222,160159330,35,1
11730222,160712993,35,1
11730222,163015328,13,1
118513,161944502,97,1
118513,162256040,15,1
118513,162897676,50,1
118513,163097946,33,1
11886697,160634877,16,1
11886697,161682292,17,1
11886697,161967394,14,1
11886697,162182011,116,1
12012397,159620022,113,1
12012397,160952539,113,1
12012397,162520686,113,1
12012397,162536022,104,1
120824,155010571,209,1
120824,155147810,83,1
120824,155819872,82,1
120824,160953362,43,1
12110148,157654384,19,1
12110148,158562111,19,1
12110148,158655588,19,1
12110148,158737324,19,1
12110148,158817130,19,1
12110148,159512884,19,1
12110148,159560207,19,1
12110148,159701010,19,1
12213688,157654384,24,1
12213688,158562111,24,1
12213688,158655588,24,1
12213688,158737324,24,1
12213688,158817130,24,1
12213688,159512884,24,1
12213688,159560207,24,1
12213688,159701010,24,1
