author_id,number_of_selected_projects,total_commits_in_qualifying_projects,mean_commits_per_qualifying_project,median_commits_per_qualifying_project,minimum_commits_in_qualifying_project,maximum_commits_in_qualifying_project,historical_same_language_projects,historical_same_language_commits,followers_before_window,profile_login,profile_company,profile_created_at,profile_type,profile_fake,profile_deleted,profile_long,profile_lat,profile_country_code,profile_state,profile_city,profile_location
51697751,1803,44213,24.521907931225734,12.0,10,1188,178875,313688,0,dependabot[bot],N,2019-04-16 22:34:25,ORG,0,0,0.00000000,0.00000000,N,N,N,N
51697753,349,59245,169.756446991404,105.0,10,2544,3826,285454,0,dependabot-preview[bot],N,2017-04-21 12:03:36,ORG,0,0,0.00000000,0.00000000,N,N,N,N
33856227,230,53110,230.91304347826087,126.0,10,5503,3650,372934,14,renovate-bot,@whitesource,2017-01-17 16:55:44,USR,0,0,0.00000000,0.00000000,N,N,N,N
13810377,56,1922,34.32142857142857,17.0,10,239,1432,6633,18,snyk-bot,@Snyk,2016-06-03 16:01:12,USR,0,0,0.00000000,0.00000000,N,N,N,N
51697519,49,2675,54.59183673469388,28.0,10,438,706,12975,0,renovate[bot],N,2017-06-02 07:04:12,ORG,0,0,0.00000000,0.00000000,N,N,N,N
6059,46,1354,29.434782608695652,19.5,10,267,2493,15681,885,invalid-email-address,N,2009-11-03 02:48:38,USR,0,0,0.00000000,0.00000000,N,N,N,N
15,36,1348,37.44444444444444,20.5,10,166,953,9356,0,efficientcloud,N,2011-03-11 09:22:49,ORG,0,0,-0.12721001,51.50642014,gb,England,London,"London, UK & Vienna, Austria"
8554353,35,1275,36.42857142857143,20.0,10,240,1274,28924,17,traviscibot,Travis CI,2015-06-19 12:28:33,USR,0,0,13.41144000,52.52343000,DE,Berlin,Berlin,"Berlin, Germany"
40032644,34,15289,449.6764705882353,19.5,10,14095,764,6333,1,semantic-release-bot,@semantic-release,2017-09-21 17:06:24,USR,0,0,-5.27985000,6.82147000,CI,N,N,CI
5556969,34,4111,120.91176470588235,92.0,13,223,29,454,3202,DeborahK,N,2014-06-25 13:31:31,USR,0,0,-121.88814000,37.33479000,US,CA,San Jose,"San Francisco/Silicon Valley, CA"
40987195,27,333,12.333333333333334,11.0,11,14,264,428,0,YYMOHHBY,N,2018-01-30 16:25:00,USR,1,0,N,N,N,N,N,N
10928391,24,1306,54.416666666666664,42.0,37,153,71,809,9,taoqf,N,2015-11-18 04:39:45,USR,0,0,113.66315000,34.75694000,CN,Henan,Zhengzhou,ZhengZhou
645951,24,296,12.333333333333334,12.0,12,14,6,68,17,acbart,University of Delaware,2011-07-06 01:10:18,USR,0,0,-75.75361000,39.68166000,US,DE,Newark,"Newark, DE"
2710410,20,921,46.05,36.0,17,119,68,1057,272,jhades,N,2013-09-13 17:59:28,USR,0,0,0.00000000,0.00000000,N,N,N,N
31004,15,194,12.933333333333334,12.0,10,19,101,180,206,freewind,N,2010-07-16 05:19:20,USR,0,0,0.00000000,0.00000000,N,N,N,N
9701,15,438,29.2,17.0,10,137,622,2956,0,LPHXKRWV,N,2012-08-03 16:31:46,USR,1,1,N,N,N,N,N,N
1752368,14,219,15.642857142857142,14.0,11,30,65,1606,65,kolya182,N,2013-01-15 15:53:42,USR,0,0,-91.31244000,47.29551000,US,MN,Silver Bay,SF Bay Area
6595467,13,884,68.0,71.0,42,81,70,2240,11,xgirma,N,2013-11-07 04:19:48,USR,0,0,0.00000000,0.00000000,N,N,N,N
48494734,12,7369,614.0833333333334,20.0,11,6882,37,475,0,actions-user,@actions,2020-05-25 17:35:50,USR,0,0,0.00000000,0.00000000,N,N,N,N
5386272,12,620,51.666666666666664,59.0,22,82,85,596,463,jgw96,@Microsoft,2014-09-18 14:45:30,USR,0,0,-122.19093000,47.61370000,US,WA,Bellevue,Bellevue
1157216,11,538,48.90909090909091,17.0,10,342,1,7,2,gaetanBloch,Convelio,2011-01-25 17:22:06,USR,0,0,-1.55718000,47.21826000,FR,Pays de la Loire,Nantes,Nantes
11730222,11,363,33.0,35.0,13,35,39,1013,31,tibing-old-email,N,2019-10-13 10:26:07,USR,0,0,0.00000000,0.00000000,N,N,N,N
162756,11,204,18.545454545454547,21.0,12,22,39,1447,73,yggg,@akveo @eva-design,2009-03-14 13:37:42,USR,0,0,27.54942000,53.89769000,BY,Gorad Minsk,Minsk,"Minsk, Belarus"
31944061,11,575,52.27272727272727,51.0,19,134,2328,55540,0,greenkeeper[bot],N,2016-10-24 20:19:55,ORG,0,0,0.00000000,0.00000000,N,N,N,N
3249347,11,1064,96.72727272727273,99.0,74,99,55,1008,103,LexZhukov,N,2012-03-18 23:05:07,USR,0,0,27.54942000,53.89769000,BY,Gorad Minsk,Minsk,"Minsk, Belarus"
360543,11,1484,134.9090909090909,134.0,134,143,84,1685,98,nnixaa,@akveo ,2010-03-25 20:28:13,USR,0,0,27.54942000,53.89769000,BY,Minsk,Minsk,"Belarus, Minsk"
1012303,10,410,41.0,30.5,10,151,5,171,4,naokikimura,@moneyforward ,2012-11-10 08:35:21,USR,0,0,139.74946000,35.68696000,JP,N,N,Japan
2985975,10,750,75.0,77.0,10,140,11,82,41,electricessence,N,2013-11-10 01:00:30,USR,0,0,0.00000000,0.00000000,N,N,N,N
