
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      16447.000 16154.000 16251.690 16365.000       0.00
edgecov.prior_big          14767.000 14521.000 14624.380 14740.000       0.00
nodecov.expertise_model_z  21839.718 21362.017 21572.705 21829.000       0.00
absdiff.expertise_model_z  13734.338 13111.875 13288.887 13617.166       0.00
nodecov.leadership_model_z  2597.876  2198.547  2412.854  2621.082       0.12
absdiff.leadership_model_z 13651.313 13529.143 13673.485 13863.593       0.90

Goodness-of-fit for minimum geodesic distance 

        obs     min       mean     max MC p-value
1     16447   16154   16251.69   16365       0.00
2     60481   66051   67544.86   70324       0.00
3     37557   75678   93091.13  102720       0.00
4     15514   73133   93631.77  103977       0.00
5      5262   51050   60408.19   64153       0.00
6      4497   26747   30218.28   34563       0.00
7      6687   10327   13639.54   18423       0.00
8      4186    3338    5863.07    9724       0.10
9       574     885    2473.45    5420       0.00
10        0     206    1092.19    3177       0.00
11        0      40     504.57    1913       0.00
12        0       2     224.52    1219       0.00
13        0       0      96.20     829       0.10
14        0       0      36.82     367       0.32
15        0       0      13.63     190       0.78
16        0       0       4.87     113       1.00
17        0       0       1.53      71       1.00
18        0       0       0.54      38       1.00
19        0       0       0.14      10       1.00
20        0       0       0.01       1       1.00
Inf 3180866 2930975 2946974.00 2982941       0.00

Goodness-of-fit for degree 

    obs min   mean max MC p-value
0     0  74 140.08 166       0.00
1   632 272 312.93 412       0.00
2   337 300 346.01 387       0.50
3   175 223 272.06 325       0.00
4   151 164 203.82 230       0.00
5    81 116 145.56 166       0.00
6    71  90 105.97 128       0.00
7    76  73  95.43 117       0.04
8    74  58  76.60  88       0.66
9    64  47  62.63  81       0.90
10   70  43  57.74  77       0.26
11   68  40  54.69  71       0.04
12   46  40  48.93  60       0.56
13   36  29  41.67  53       0.36
14   61  24  35.28  46       0.00
15   26  19  31.53  48       0.72
16   24  13  25.20  45       1.00
17   65   6  21.58  52       0.00
18   54   6  16.30  35       0.00
19   43   5  13.70  29       0.00
20   27   4  12.51  25       0.00
21   32   2  10.01  21       0.00
22   12   2   8.14  17       0.32
23   10   3   8.65  16       0.82
24   18   2   9.14  20       0.10
25   26   5   9.86  18       0.00
26    6   3   9.66  25       0.62
27    9   3   9.85  20       0.96
28   12   3  11.24  23       0.84
29    6   4  11.61  23       0.12
30    5   3  11.65  21       0.10
31    4   3  11.93  20       0.02
32   11   5  11.16  18       1.00
33    4   3  11.63  21       0.04
34    7   3  11.25  20       0.26
35    6   3  10.80  24       0.20
36    5   2   9.80  18       0.32
37    5   2   8.06  17       0.44
38    0   2   8.48  17       0.00
39    3   2   8.66  17       0.08
40    4   3  10.58  19       0.06
41    7   2   9.40  21       0.76
42    7   3   9.95  21       0.70
43    5   0  10.19  21       0.56
44    2   2   9.22  18       0.06
45    4   0   8.18  17       0.32
46    5   1   8.22  17       0.44
47    0   2   9.40  19       0.00
48    3   1   7.58  21       0.46
49    2   2   6.88  16       0.10
50    2   1   6.04  14       0.18
51    3   0   6.78  18       0.58
52    2   0   7.39  19       0.26
53    3   1   7.11  18       0.42
54    5   1   7.74  17       0.78
55    0   0   7.20  16       0.04
56    0   1   7.32  15       0.00
57    1   2   6.82  13       0.00
58    2   2   6.53  15       0.06
59    5   0   6.60  16       0.70
60    3   0   5.75  14       0.34
61    3   0   6.14  15       0.34
62    4   0   6.95  16       0.34
63    4   0   6.24  12       0.68
64    6   1   5.99  13       1.00
65    7   2   5.34  10       0.64
66    5   0   4.81  11       1.00
67    3   0   4.51  12       0.70
68    4   0   4.59  10       0.98
69    6   0   5.58  13       0.90
70    2   0   5.80  15       0.38
71    5   0   4.84  14       0.76
72    8   0   4.02  10       0.10
73    6   0   3.39  12       0.24
74   18   0   3.09  11       0.00
75    7   0   2.74   8       0.14
76    6   0   1.88   7       0.06
77    8   0   1.91   7       0.00
78    4   0   1.75   5       0.16
79    6   0   1.81   5       0.00
80    7   0   1.81   6       0.00
81    2   0   1.64   5       1.00
82    2   0   1.25   4       0.72
83    4   0   1.22   3       0.00
84    1   0   1.38   4       1.00
85    0   0   0.81   3       0.82
86    1   0   0.72   2       1.00
87    2   0   1.07   4       0.56
88    1   0   0.97   4       1.00
89    2   0   0.89   3       0.46
90    1   0   0.97   4       1.00
91    0   0   0.81   3       0.72
92    1   0   0.64   4       0.96
93    3   0   0.37   2       0.00
94    1   0   0.51   4       0.62
95    2   0   0.19   2       0.06
96    1   0   0.15   2       0.28
97    1   0   0.10   1       0.20
98    0   0   0.05   1       1.00
99    0   0   0.09   1       1.00
100   0   0   0.05   1       1.00
101   0   0   0.12   1       1.00
102   0   0   0.05   1       1.00
103   1   0   0.06   1       0.12
104   0   0   0.04   1       1.00
105   0   0   0.12   2       1.00
106   0   0   0.11   2       1.00
107   1   0   0.17   2       0.32
108   0   0   0.11   1       1.00
109   0   0   0.30   2       1.00
110   0   0   0.21   3       1.00
111   0   0   0.26   2       1.00
112   0   0   0.22   1       1.00
113   0   0   0.28   2       1.00
114   0   0   0.16   2       1.00
115   0   0   0.22   2       1.00
116   0   0   0.20   2       1.00
117   0   0   0.22   2       1.00
118   0   0   0.25   2       1.00
119   0   0   0.16   2       1.00
120   0   0   0.17   2       1.00
121   0   0   0.16   2       1.00
122   0   0   0.17   2       1.00
123   0   0   0.19   2       1.00
124   1   0   0.11   1       0.22
125   0   0   0.14   2       1.00
126   0   0   0.13   1       1.00
127   0   0   0.19   1       1.00
128   0   0   0.11   1       1.00
129   0   0   0.09   1       1.00
130   0   0   0.27   1       1.00
131   0   0   0.12   2       1.00
132   0   0   0.07   1       1.00
133   0   0   0.13   2       1.00
134   0   0   0.18   2       1.00
135   0   0   0.10   1       1.00
136   0   0   0.10   1       1.00
137   0   0   0.09   2       1.00
138   0   0   0.07   1       1.00
139   1   0   0.08   1       0.16
140   0   0   0.10   1       1.00
141   0   0   0.06   1       1.00
142   0   0   0.03   1       1.00
143   0   0   0.07   1       1.00
144   0   0   0.06   1       1.00
145   0   0   0.06   1       1.00
146   0   0   0.04   1       1.00
147   1   0   0.06   1       0.12
148   2   0   0.10   1       0.00
149   0   0   0.08   1       1.00
150   0   0   0.06   1       1.00
151   0   0   0.06   1       1.00
152   0   0   0.08   1       1.00
153   0   0   0.10   2       1.00
154   0   0   0.11   1       1.00
155   0   0   0.15   1       1.00
156   0   0   0.03   1       1.00
157   0   0   0.03   1       1.00
158   0   0   0.01   1       1.00
159   0   0   0.05   1       1.00
160   0   0   0.07   1       1.00
161   0   0   0.04   1       1.00
162   0   0   0.04   1       1.00
163   0   0   0.04   1       1.00
164   0   0   0.01   1       1.00
165   0   0   0.04   1       1.00
166   0   0   0.03   1       1.00
167   0   0   0.05   1       1.00
168   0   0   0.03   1       1.00
169   0   0   0.03   1       1.00
170   0   0   0.01   1       1.00
171   0   0   0.05   1       1.00
172   0   0   0.04   1       1.00
173   0   0   0.04   1       1.00
174   0   0   0.07   1       1.00
175   0   0   0.01   1       1.00
176   1   0   0.04   1       0.08
177   0   0   0.01   1       1.00
178   0   0   0.02   1       1.00
179   0   0   0.08   1       1.00
181   0   0   0.01   1       1.00
182   0   0   0.01   1       1.00
183   0   0   0.03   1       1.00
184   0   0   0.01   1       1.00
185   0   0   0.01   1       1.00
186   0   0   0.01   1       1.00
187   0   0   0.03   1       1.00
188   0   0   0.03   1       1.00
189   0   0   0.02   1       1.00
190   0   0   0.01   1       1.00
192   0   0   0.04   1       1.00
193   0   0   0.02   1       1.00
194   1   0   0.00   0       0.00
203   1   0   0.00   0       0.00
205   1   0   0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

    obs  min    mean  max MC p-value
0   490 1074 1875.21 2269       0.00
1   487  561  662.14  812       0.00
2   338  453  512.77  602       0.00
3   336  453  526.27  597       0.00
