
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      16447.000 15365.000 16229.900 16712.000       0.74
edgecov.prior_big          14767.000 14089.000 14657.890 14999.000       0.80
nodecov.expertise_model_z  21839.718 20274.663 21333.856 22004.449       0.28
absdiff.expertise_model_z  13734.338 12655.099 13652.929 14130.701       0.88
nodecov.leadership_model_z  2597.876  1431.333  2163.189  2631.732       0.08
absdiff.leadership_model_z 13651.313 12542.633 13369.248 13843.787       0.52
gwesp.fixed.0.25           20323.971 18847.817 19990.288 20628.189       0.64

Goodness-of-fit for minimum geodesic distance 

        obs     min       mean     max MC p-value
1     16447   15365   16229.90   16712       0.74
2     60481   60027   79577.80   88091       0.04
3     37557   43515   68091.84   75755       0.00
4     15514   32523   41509.43   51581       0.00
5      5262   14091   21657.19   32543       0.00
6      4497    4096    9892.87   20003       0.04
7      6687    1339    4610.33   11563       0.44
8      4186     600    2387.78    8308       0.34
9       574     272    1347.85    5095       0.38
10        0      98     803.54    3037       0.00
11        0       8     476.25    2265       0.00
12        0       0     286.23    1457       0.02
13        0       0     169.35     901       0.12
14        0       0     104.31     799       0.36
15        0       0      62.44     739       0.66
16        0       0      35.87     568       0.96
17        0       0      20.07     376       1.00
18        0       0      11.67     223       1.00
19        0       0       5.67     125       1.00
20        0       0       2.07      72       1.00
21        0       0       0.69      36       1.00
22        0       0       0.27      21       1.00
23        0       0       0.08       6       1.00
24        0       0       0.02       2       1.00
Inf 3180866 3061197 3084787.48 3116011       0.00

Goodness-of-fit for degree 

    obs min   mean max MC p-value
0     0 167 572.48 668       0.00
1   632 161 194.54 349       0.00
2   337 178 231.65 375       0.10
3   175 132 175.91 268       0.94
4   151 113 143.10 195       0.52
5    81  98 126.00 174       0.00
6    71  85 105.36 135       0.00
7    76  60  86.60 113       0.20
8    74  60  75.17  96       0.90
9    64  46  64.94  84       0.92
10   70  38  54.92  77       0.04
11   68  33  48.00  64       0.00
12   46  23  37.61  56       0.18
13   36  19  30.74  53       0.38
14   61  15  25.98  44       0.00
15   26  12  21.94  43       0.36
16   24   6  18.27  43       0.16
17   65   4  15.98  46       0.00
18   54   3  13.07  36       0.00
19   43   3  12.32  28       0.00
20   27   2  11.22  21       0.00
21   32   3  10.03  21       0.00
22   12   3   9.91  20       0.56
23   10   1  10.06  18       1.00
24   18   3   9.42  20       0.06
25   26   5  10.17  27       0.02
26    6   2  10.52  20       0.22
27    9   2  10.85  21       0.82
28   12   4  11.53  21       1.00
29    6   3  11.68  21       0.20
30    5   3  11.01  20       0.18
31    4   3  11.92  21       0.06
32   11   3  12.91  22       0.74
33    4   4  12.73  22       0.02
34    7   6  13.05  23       0.08
35    6   5  12.10  20       0.10
36    5   3  12.76  21       0.08
37    5   3  12.65  21       0.06
38    0   1  11.72  20       0.00
39    3   4  11.91  23       0.00
40    4   2  11.53  20       0.04
41    7   4  11.32  22       0.38
42    7   4  11.03  25       0.30
43    5   1  10.54  20       0.24
44    2   2   9.95  20       0.04
45    4   3   9.82  21       0.16
46    5   3   9.50  21       0.26
47    0   1   9.00  22       0.00
48    3   2   9.38  18       0.08
49    2   2   8.53  23       0.10
50    2   1   7.57  21       0.04
51    3   1   7.49  17       0.14
52    2   1   7.22  17       0.10
53    3   2   7.75  16       0.18
54    5   1   7.08  17       0.62
55    0   1   7.66  18       0.00
56    0   1   7.22  17       0.00
57    1   2   7.02  13       0.00
58    2   2   7.68  15       0.06
59    5   1   7.47  15       0.44
60    3   2   7.60  15       0.08
61    3   2   8.38  18       0.14
62    4   1   8.25  15       0.22
63    4   0   8.36  17       0.28
64    6   2   8.37  18       0.70
65    7   1   7.90  16       0.92
66    5   0   7.68  16       0.50
67    3   1   7.22  15       0.22
68    4   0   6.88  13       0.44
69    6   0   5.79  17       1.00
70    2   0   5.63  12       0.14
71    5   1   5.54  13       1.00
72    8   0   4.94  12       0.28
73    6   0   4.44  10       0.60
74   18   0   3.81   9       0.00
75    7   0   3.36   8       0.18
76    6   0   3.18   8       0.30
77    8   0   2.83   8       0.02
78    4   0   2.27   6       0.40
79    6   0   2.00   7       0.06
80    7   0   1.55   5       0.00
81    2   0   1.34   5       0.74
82    2   0   1.15   5       0.60
83    4   0   0.70   5       0.02
84    1   0   0.53   3       0.74
85    0   0   0.58   4       1.00
86    1   0   0.43   4       0.62
87    2   0   0.34   3       0.14
88    1   0   0.23   2       0.36
89    2   0   0.11   1       0.00
90    1   0   0.11   2       0.20
91    0   0   0.14   3       1.00
92    1   0   0.18   2       0.34
93    3   0   0.13   1       0.00
94    1   0   0.06   1       0.12
95    2   0   0.09   1       0.00
96    1   0   0.08   1       0.16
97    1   0   0.06   1       0.12
98    0   0   0.07   1       1.00
99    0   0   0.02   1       1.00
100   0   0   0.05   1       1.00
101   0   0   0.06   1       1.00
102   0   0   0.01   1       1.00
103   1   0   0.02   1       0.04
104   0   0   0.04   1       1.00
105   0   0   0.06   1       1.00
106   0   0   0.03   1       1.00
107   1   0   0.02   2       0.02
108   0   0   0.01   1       1.00
109   0   0   0.03   1       1.00
110   0   0   0.02   1       1.00
111   0   0   0.03   1       1.00
112   0   0   0.02   1       1.00
113   0   0   0.01   1       1.00
114   0   0   0.05   1       1.00
