
Goodness-of-fit for model statistics 

                                obs      min     mean      max MC p-value
edges                      3309.000 3190.000 3293.330 3396.000       0.84
edgecov.prior              3245.000 3142.000 3230.400 3321.000       0.84
nodecov.expertise_model_z  3495.527 3376.352 3509.028 3620.325       0.94
absdiff.expertise_model_z  1945.725 1842.738 1926.423 2014.180       0.64
nodecov.leadership_model_z 1289.400 1137.288 1295.450 1397.477       0.66
absdiff.leadership_model_z 3687.154 3549.733 3669.708 3767.969       0.80

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1   3309 3190 3293.33 3396       0.84
2   3019 4856 5131.51 5476       0.00
3    629 1315 1915.88 2208       0.00
4     95  219  453.42  792       0.00
5      0   12  123.24  487       0.00
6      0    0   24.99  179       0.40
7      0    0    8.28  139       1.00
8      0    0    2.13  112       1.00
9      0    0    0.08    3       1.00
Inf 4273    0  372.14  879       0.00

Goodness-of-fit for degree 

   obs min mean max MC p-value
0    0   0 2.28   5       0.10
1    2   1 2.99   7       0.76
2    0   0 2.64   5       0.06
3    1   0 2.84   7       0.46
4    0   0 3.32   7       0.04
5    1   0 3.03   7       0.32
6    0   0 2.86   8       0.12
7    3   0 2.59   7       1.00
8    2   0 2.68   6       0.88
9    2   0 2.47   6       1.00
10  13   0 2.63   6       0.00
11   5   0 2.47   6       0.12
12   9   0 2.07   5       0.00
13   0   0 2.06   6       0.30
14   8   0 1.78   5       0.00
15  10   0 1.46   4       0.00
16   5   0 1.18   4       0.00
17   4   0 1.02   3       0.00
18   1   0 0.95   4       1.00
19   3   0 0.89   4       0.12
20   1   0 0.68   4       1.00
21   0   0 0.82   4       0.96
22   0   0 0.89   4       0.76
23   0   0 0.70   3       0.94
24   0   0 0.64   3       0.96
25   0   0 0.55   3       1.00
26   0   0 0.64   3       1.00
27   0   0 0.43   2       1.00
28   0   0 0.64   3       0.96
29   0   0 0.61   3       1.00
30   0   0 0.70   4       0.94
31   0   0 0.93   4       0.68
32   0   0 1.12   5       0.60
33   0   0 1.11   4       0.54
34   0   0 1.06   4       0.64
35   0   0 0.99   4       0.72
36   0   0 0.84   4       0.76
37   2   0 1.06   4       0.50
38   0   0 0.78   3       0.80
39   0   0 0.98   4       0.74
40   0   0 1.04   4       0.64
41   0   0 0.95   4       0.74
42   2   0 1.04   4       0.52
43   0   0 1.01   4       0.66
44   0   0 0.87   3       0.82
45   0   0 0.99   4       0.66
46   0   0 1.04   4       0.76
47   0   0 1.01   5       0.80
48   2   0 0.90   4       0.50
