
Goodness-of-fit for model statistics 

                                obs      min     mean      max MC p-value
edges                      3309.000 3217.000 3302.320 3401.000       0.80
edgecov.prior              3245.000 3150.000 3234.260 3321.000       0.72
nodecov.expertise_model_z  3495.527 3345.919 3446.949 3586.779       0.26
absdiff.expertise_model_z  1945.725 1854.609 1927.891 2007.145       0.54
nodecov.leadership_model_z 1289.400 1168.898 1265.151 1370.167       0.66
absdiff.leadership_model_z 3687.154 3556.357 3651.226 3782.117       0.38
gwesp.fixed.0.25           4246.236 4126.805 4236.135 4363.007       0.76

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1   3309 3217 3302.32 3401       0.80
2   3019 3584 4537.98 4959       0.00
3    629  168 1442.59 1803       0.06
4     95    0  143.14 1310       0.60
5      0    0    8.26  576       1.00
Inf 4273 1817 1890.71 4274       0.06

Goodness-of-fit for degree 

   obs min mean max MC p-value
0    0   2 2.00   2       0.00
1    2   0 0.03   1       0.00
2    0   0 2.50   5       0.08
3    1   0 3.12   8       0.26
4    0   0 3.02   6       0.06
5    1   0 3.39   9       0.18
6    0   1 3.24   7       0.00
7    3   0 3.03   7       1.00
8    2   0 2.87   6       0.90
9    2   0 3.23   9       0.72
10  13   0 2.66   7       0.00
11   5   0 2.57   8       0.24
12   9   0 2.13   6       0.00
13   0   0 2.13   5       0.22
14   8   0 1.67   4       0.00
15  10   0 1.75   5       0.00
16   5   0 1.40   6       0.02
17   4   0 1.08   3       0.00
18   1   0 0.96   3       1.00
19   3   0 0.68   3       0.08
20   1   0 0.73   3       1.00
21   0   0 0.73   4       0.98
22   0   0 0.58   3       1.00
23   0   0 0.75   3       0.88
24   0   0 0.77   3       1.00
25   0   0 0.62   2       1.00
26   0   0 0.76   3       0.94
27   0   0 0.58   4       1.00
28   0   0 0.81   4       0.78
29   0   0 0.79   4       0.90
30   0   0 0.89   3       0.78
31   0   0 0.92   4       0.82
32   0   0 0.86   3       0.78
33   0   0 1.06   4       0.62
34   0   0 1.11   4       0.68
35   0   0 1.04   4       0.58
36   0   0 1.01   3       0.66
37   2   0 1.23   4       0.66
38   0   0 1.05   4       0.66
39   0   0 1.03   4       0.72
40   0   0 0.84   4       0.80
41   0   0 0.89   4       0.78
42   2   0 0.89   4       0.44
43   0   0 0.79   4       0.90
44   0   0 0.76   4       0.90
45   0   0 0.79   4       0.98
46   0   0 0.90   3       0.64
47   0   0 0.92   4       0.76
48   2   0 0.84   3       0.36
49   0   0 0.96   4       0.78
50   1   0 1.00   5       1.00
51   0   0 1.18   5       0.62
52   0   0 1.26   4       0.50
53   1   0 1.33   4       1.00
54   1   0 1.34   5       1.00
55   0   0 1.51   5       0.44
56   0   0 1.82   6       0.34
57   1   0 1.98   8       0.86
58   0   0 2.17   6       0.22
59   0   0 2.46   6       0.12
60   0   0 2.87   9       0.08
61   0   0 2.91   8       0.06
62   1   0 3.39   7       0.36
63   1   1 3.91  10       0.22
64   3   0 4.27  11       0.80
65   2   1 5.21  13       0.14
66   0   1 5.21  11       0.00
67   1   1 5.26  12       0.06
68   2   1 4.94  10       0.20
69   2   1 5.22  13       0.12
70   0   0 4.83  12       0.02
71   3   0 3.91   9       0.80
72   4   0 3.63   9       0.98
73   3   0 2.48   6       1.00
74  14   0 2.12   8       0.00
75   6   0 1.99   6       0.02
76   4   0 1.25   4       0.04
77   7   0 0.90   4       0.00
78   4   0 0.48   2       0.00
79   4   0 0.40   3       0.00
80   7   0 0.21   2       0.00
81   0   0 0.09   1       1.00
82   0   0 0.06   1       1.00
83   1   0 0.03   1       0.06
84   0   0 0.02   1       1.00
86   1   0 0.00   0       0.00
93   1   0 0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0    1   0   0.04   1       0.08
1    3   0   5.99  11       0.24
2    6   9  26.10  41       0.00
3    3  23  40.50  55       0.00
4   12  32  44.56  63       0.00
5   13  23  42.68  55       0.00
6   16  23  37.09  50       0.00
7   11  17  30.43  49       0.00
8   31  13  24.82  45       0.36
9   70  11  21.89  38       0.00
10  15  10  21.30  32       0.26
11  73   8  19.88  35       0.00
12  31   7  23.06  39       0.22
13  82  12  25.70  52       0.00
14  82  12  29.07  44       0.00
15  18  19  32.47  49       0.00
16   6  20  34.51  58       0.00
17   1  25  38.59  55       0.00
18   3  22  41.43  61       0.00
19   0  26  42.21  62       0.00
20   0  27  46.23  64       0.00
21   1  28  45.54  65       0.00
22   2  29  44.37  70       0.00
23   4  28  45.17  65       0.00
24   5  25  45.28  77       0.00
25  13  25  44.81  65       0.00
26   0  16  43.02  62       0.00
27   0  29  43.83  73       0.00
28   1  27  44.99  64       0.00
