
Goodness-of-fit for model statistics 

                                obs      min     mean      max MC p-value
edges                      295.0000 262.0000 294.0800 323.0000       0.98
edgecov.prior              210.0000 182.0000 208.5800 227.0000       0.90
nodecov.expertise_model_z  593.1678 514.7176 585.4805 662.0949       0.82
absdiff.expertise_model_z  390.9606 343.7397 383.4759 441.6872       0.66
nodecov.leadership_model_z 377.4428 319.9379 378.0866 432.5468       1.00
absdiff.leadership_model_z 340.3330 291.2531 342.3611 396.0445       0.92

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1    295  262  294.08  323       0.98
2    719  852 1046.85 1295       0.00
3    796 1772 2197.51 2889       0.00
4    162 1921 2481.50 3180       0.00
5      0 1182 1650.81 2077       0.00
6      0  386  767.76 1149       0.00
7      0   64  280.67  571       0.00
8      0    3   87.76  259       0.00
9      0    0   26.09  166       0.16
10     0    0    6.96   92       0.86
11     0    0    1.67   42       1.00
12     0    0    0.33   19       1.00
13     0    0    0.08    8       1.00
14     0    0    0.02    2       1.00
Inf 9963 1781 3092.91 4671       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  10 17.01  29       0.00
1   66  17 30.57  43       0.00
2   27  17 28.52  40       0.90
3   16   9 20.08  32       0.32
4    6   5 12.59  26       0.06
5    0   1  8.54  17       0.00
6    3   1  7.17  14       0.10
7   14   3  6.43  12       0.00
8    1   1  5.28  11       0.04
9    6   1  4.95  12       0.74
10   0   0  4.18   9       0.04
11  11   0  3.37   8       0.00
12   2   0  2.23   7       1.00
13   0   0  1.33   5       0.54
14   0   0  0.78   3       0.92
15   0   0  0.39   2       1.00
16   0   0  0.25   2       1.00
17   0   0  0.17   2       1.00
18   0   0  0.16   1       1.00
19   0   0  0.08   1       1.00
20   0   0  0.13   2       1.00
21   0   0  0.15   1       1.00
22   1   0  0.09   1       0.18
23   0   0  0.16   1       1.00
24   1   0  0.11   1       0.22
25   0   0  0.07   1       1.00
26   0   0  0.09   1       1.00
27   0   0  0.06   1       1.00
28   0   0  0.05   1       1.00
29   1   0  0.01   1       0.02

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0   44 103 128.79 162       0.00
1   35  21  41.22  64       0.46
2   24  14  28.40  44       0.52
3   10  13  26.54  44       0.00
4    0  12  24.54  39       0.00
5   15   5  18.38  37       0.76
6   56   2  13.27  29       0.00
7    0   0   7.73  22       0.10
8   38   0   3.60  18       0.00
9    1   0   1.34  13       0.92
10  66   0   0.22   3       0.00
11   6   0   0.05   2       0.00
