
Goodness-of-fit for model statistics 

                                obs      min     mean      max MC p-value
edges                      295.0000 245.0000 287.2900 335.0000       0.74
edgecov.prior              210.0000 179.0000 207.1600 236.0000       0.90
nodecov.expertise_model_z  593.1678 427.7079 583.5394 721.9749       0.90
absdiff.expertise_model_z  390.9606 289.4161 378.4645 455.8399       0.72
nodecov.leadership_model_z 377.4428 303.0127 369.9805 456.0751       0.76
absdiff.leadership_model_z 340.3330 257.6684 329.6338 389.5118       0.66
gwesp.fixed.0.25           310.6838 259.8741 302.9625 352.3356       0.72

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1    295  245  287.29  335       0.74
2    719  588  944.37 1309       0.22
3    796  910 1586.77 2392       0.00
4    162  784 1326.00 2153       0.00
5      0  209  695.70 1296       0.00
6      0   16  278.65  529       0.00
7      0    0  100.68  443       0.02
8      0    0   31.82  226       0.36
9      0    0    9.75  165       1.00
10     0    0    3.01   72       1.00
11     0    0    0.85   33       1.00
12     0    0    0.26   16       1.00
13     0    0    0.09    7       1.00
Inf 9963 4308 6669.76 8733       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  29 42.16  58       0.00
1   66  10 21.32  33       0.00
2   27   9 18.40  30       0.04
3   16   5 13.72  22       0.60
4    6   4 10.01  20       0.26
5    0   3  8.04  16       0.00
6    3   3  6.92  14       0.12
7   14   1  6.55  13       0.00
8    1   2  6.28  13       0.00
9    6   1  5.20  11       0.88
10   0   1  4.35  11       0.00
11  11   0  3.55  10       0.00
12   2   0  2.44   7       1.00
13   0   0  1.62   4       0.34
14   0   0  1.00   3       0.66
15   0   0  0.82   3       0.88
16   0   0  0.59   3       1.00
17   0   0  0.46   3       1.00
18   0   0  0.31   2       1.00
19   0   0  0.21   2       1.00
20   0   0  0.20   2       1.00
21   0   0  0.18   2       1.00
22   1   0  0.16   1       0.32
23   0   0  0.06   1       1.00
24   1   0  0.10   1       0.20
25   0   0  0.10   1       1.00
26   0   0  0.05   1       1.00
27   0   0  0.05   1       1.00
28   0   0  0.08   1       1.00
29   1   0  0.02   1       0.04
30   0   0  0.01   1       1.00
31   0   0  0.01   1       1.00
32   0   0  0.02   1       1.00
33   0   0  0.01   1       1.00

Goodness-of-fit for edgewise shared partner 

   obs min  mean max MC p-value
0   44  20 32.84  47       0.08
1   35  42 70.29  98       0.00
2   24  27 49.89  70       0.00
3   10  18 38.32  55       0.00
4    0  19 34.58  57       0.00
5   15  12 25.43  38       0.08
6   56   5 18.03  32       0.00
7    0   1 10.48  28       0.00
8   38   0  5.26  17       0.00
9    1   0  1.59  11       1.00
10  66   0  0.47   7       0.00
11   6   0  0.11   2       0.00
