
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      2851.0000  2770.000 2879.1900 2974.0000       0.42
edgecov.prior              2794.0000  2710.000 2819.2000 2913.0000       0.44
nodecov.expertise_model_z  2031.2575  1937.642 2047.6647 2158.7338       0.84
absdiff.expertise_model_z  2319.0239  2241.648 2332.3954 2395.8987       0.64
nodecov.leadership_model_z -916.6531 -1018.360 -928.7516 -805.1734       0.74
absdiff.leadership_model_z 1880.9173  1801.657 1915.4147 2008.7149       0.48

Goodness-of-fit for minimum geodesic distance 

     obs   min     mean   max MC p-value
1   2851  2770  2879.19  2974       0.42
2   9086 11182 11486.31 11850       0.00
3   1440  2962  3524.19  4118       0.00
4    232   331   849.48  1372       0.00
5     22     7   111.90   338       0.10
6      0     0     8.43    32       0.32
7      0     0     0.53     5       1.00
8      0     0     0.04     1       1.00
Inf 5675     0   445.93  1350       0.00

Goodness-of-fit for degree 

    obs min mean max MC p-value
0     0   0 2.05   5       0.22
1     6   2 5.46  12       0.84
2     2   1 6.56  13       0.08
3     2   1 6.50  11       0.12
4     5   1 5.97  12       0.86
5     3   0 4.08  10       0.88
6     1   0 2.65   6       0.44
7     8   0 2.44   6       0.00
8     1   0 1.47   5       1.00
9     0   0 0.89   4       0.82
10   12   0 0.92   4       0.00
11    1   0 0.90   4       1.00
12    0   0 1.17   5       0.60
13    1   0 0.79   4       1.00
14    1   0 0.76   4       1.00
15    0   0 1.04   4       0.70
16    0   0 0.90   5       0.80
17    6   0 1.11   3       0.00
18    3   0 1.37   4       0.32
19    3   0 1.33   5       0.26
20    8   0 1.73   6       0.00
21    1   0 2.18   6       0.66
22    6   0 2.54   7       0.06
23    7   0 2.46   8       0.08
24    9   0 2.85   6       0.00
25   20   0 2.99   9       0.00
26    0   0 3.22   6       0.08
27    5   0 3.68   8       0.62
28   10   1 4.71   9       0.00
29    3   0 4.86  12       0.54
30    4   1 5.21  11       0.80
31    1   1 5.43  11       0.02
32    7   1 5.69  10       0.68
33    2   0 5.42  12       0.22
34    3   1 6.19  13       0.30
35    2   0 5.61  13       0.18
36    4   2 6.31  14       0.42
37    3   2 6.77  12       0.12
38    0   2 7.07  15       0.00
39    1   1 7.14  13       0.02
40    4   2 6.83  12       0.32
41    5   1 6.48  15       0.78
42    1   1 5.85  12       0.08
43    2   2 5.57  14       0.08
44    1   1 4.98  11       0.08
45    3   0 4.42  10       0.72
46    3   0 3.91  11       0.90
47    0   0 3.47   9       0.10
48    0   0 2.76   7       0.14
49    2   0 2.63   7       1.00
50    1   0 2.00   5       0.74
51    1   0 1.78   7       0.90
52    1   0 1.26   4       1.00
53    1   0 1.01   4       1.00
54    2   0 0.95   4       0.48
55    0   0 0.83   3       0.84
56    0   0 0.49   3       1.00
57    0   0 0.49   3       1.00
58    1   0 0.21   2       0.40
59    3   0 0.20   2       0.00
60    1   0 0.14   1       0.28
61    2   0 0.07   2       0.02
62    2   0 0.03   1       0.00
63    2   0 0.07   1       0.00
64    0   0 0.03   1       1.00
65    0   0 0.07   1       1.00
66    1   0 0.00   0       0.00
67    0   0 0.02   1       1.00
69    0   0 0.01   1       1.00
70    1   0 0.02   1       0.04
72    1   0 0.00   0       0.00
83    1   0 0.00   0       0.00
97    1   0 0.00   0       0.00
103   1   0 0.00   0       0.00
107   1   0 0.00   0       0.00
124   1   0 0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0    4  41  55.29  69       0.00
