
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      2851.0000  2800.000 2893.5300 2991.0000       0.30
edgecov.prior              2794.0000  2755.000 2834.5500 2930.0000       0.30
nodecov.expertise_model_z  2031.2575  1782.631 1965.4823 2096.8480       0.16
absdiff.expertise_model_z  2319.0239  2240.038 2349.4410 2432.1175       0.54
nodecov.leadership_model_z -916.6531 -1027.011 -897.0271 -758.0147       0.68
absdiff.leadership_model_z 1880.9173  1823.245 1926.0158 2051.7495       0.34
gwesp.fixed.0.25           3653.3374  3585.604 3704.8396 3832.0407       0.34

Goodness-of-fit for minimum geodesic distance 

     obs   min     mean   max MC p-value
1   2851  2800  2893.53  2991       0.30
2   9086 10146 10684.32 11023       0.00
3   1440   254  1217.93  1979       0.66
4    232     0   838.20  1802       0.32
5     22     0   267.22   889       0.46
6      0     0    29.47   345       0.50
7      0     0     2.75    28       1.00
8      0     0     0.19     9       1.00
Inf 5675  1912  3372.39  5848       0.14

Goodness-of-fit for degree 

    obs min mean max MC p-value
0     0   5 7.64  10       0.00
1     6   0 0.06   2       0.00
2     2   1 4.44   9       0.18
3     2   2 6.86  11       0.02
4     5   0 4.22   9       0.90
5     3   1 4.14  10       0.86
6     1   0 3.15   8       0.34
7     8   0 2.65   6       0.00
8     1   0 1.80   5       0.84
9     0   0 1.28   4       0.52
10   12   0 1.02   3       0.00
11    1   0 0.76   3       1.00
12    0   0 0.94   3       0.78
13    1   0 0.87   4       1.00
14    1   0 0.77   3       1.00
15    0   0 0.87   3       0.74
16    0   0 0.85   4       0.90
17    6   0 1.02   5       0.00
18    3   0 1.30   4       0.28
19    3   0 1.44   4       0.30
20    8   0 1.55   6       0.00
21    1   0 1.74   5       1.00
22    6   0 2.31   8       0.06
23    7   0 2.41   7       0.02
24    9   0 2.98   8       0.00
25   20   0 3.46  11       0.00
26    0   0 3.75  10       0.06
27    5   0 4.00   9       0.78
28   10   0 4.50  10       0.04
29    3   0 4.87  10       0.48
30    4   1 5.30  12       0.88
31    1   1 5.65  13       0.12
32    7   1 5.72  14       0.70
33    2   0 5.99  11       0.16
34    3   0 7.11  14       0.20
35    2   1 7.17  13       0.08
36    4   1 6.67  14       0.40
37    3   1 7.04  17       0.16
38    0   2 7.02  14       0.00
39    1   2 7.14  16       0.00
40    4   1 6.52  14       0.42
41    5   1 6.58  12       0.68
42    1   0 6.42  13       0.02
43    2   1 5.58  13       0.24
44    1   1 4.64  11       0.08
45    3   0 4.13   9       0.82
46    3   0 3.56   8       0.98
47    0   0 3.43  10       0.10
48    0   0 3.27   9       0.06
49    2   0 2.51   8       1.00
50    1   0 1.89   6       0.86
51    1   0 1.54   5       1.00
52    1   0 1.09   4       1.00
53    1   0 0.99   5       1.00
54    2   0 0.68   3       0.40
55    0   0 0.46   3       1.00
56    0   0 0.42   2       1.00
57    0   0 0.20   2       1.00
58    1   0 0.27   2       0.50
59    3   0 0.07   1       0.00
60    1   0 0.10   1       0.20
61    2   0 0.08   1       0.00
62    2   0 0.02   1       0.00
63    2   0 0.02   1       0.00
64    0   0 0.01   1       1.00
65    0   0 0.01   1       1.00
66    1   0 0.03   1       0.06
67    0   0 0.02   1       1.00
70    1   0 0.00   0       0.00
72    1   0 0.00   0       0.00
83    1   0 0.00   0       0.00
97    1   0 0.00   0       0.00
103   1   0 0.00   0       0.00
107   1   0 0.00   0       0.00
124   1   0 0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0    4   0   0.11   1       0.00
1    5   6  16.21  25       0.00
2   11  42  60.36  86       0.00
3   12  73  97.85 126       0.00
4    0 110 144.69 172       0.00
5    0 155 196.14 245       0.00
6   30 190 252.64 316       0.00
7    9 243 300.55 378       0.00
8    7 270 313.94 366       0.00
9   69 270 314.10 372       0.00
10  23 249 288.91 330       0.00
11  30 204 248.31 292       0.00
12  38 160 201.94 274       0.00
13  52 105 153.82 200       0.00
14  78  69 110.29 154       0.04
15  82  41  75.51 111       0.60
16 130  23  48.94  77       0.00
17  95   8  30.59  53       0.00
18 125   7  17.81  42       0.00
19 188   2  10.15  26       0.00
20 124   0   5.35  17       0.00
21 200   0   2.89  15       0.00
22 137   0   1.31   7       0.00
23 181   0   0.59   3       0.00
24 244   0   0.31   3       0.00
25  82   0   0.14   3       0.00
26 106   0   0.06   2       0.00
27  89   0   0.01   1       0.00
28  75   0   0.01   1       0.00
29  52   0   0.00   0       0.00
30  48   0   0.00   0       0.00
31  65   0   0.00   0       0.00
32  55   0   0.00   0       0.00
33  40   0   0.00   0       0.00
34  44   0   0.00   0       0.00
35  48   0   0.00   0       0.00
36  24   0   0.00   0       0.00
37  24   0   0.00   0       0.00
38  20   0   0.00   0       0.00
39  22   0   0.00   0       0.00
40  24   0   0.00   0       0.00
41  10   0   0.00   0       0.00
42  17   0   0.00   0       0.00
43  12   0   0.00   0       0.00
44  13   0   0.00   0       0.00
45  16   0   0.00   0       0.00
46   7   0   0.00   0       0.00
47  10   0   0.00   0       0.00
48   4   0   0.00   0       0.00
49   9   0   0.00   0       0.00
50   8   0   0.00   0       0.00
51   2   0   0.00   0       0.00
52   9   0   0.00   0       0.00
53   2   0   0.00   0       0.00
56   2   0   0.00   0       0.00
57   4   0   0.00   0       0.00
58   2   0   0.00   0       0.00
59   2   0   0.00   0       0.00
60   6   0   0.00   0       0.00
61   4   0   0.00   0       0.00
62   5   0   0.00   0       0.00
64   1   0   0.00   0       0.00
66   1   0   0.00   0       0.00
67   2   0   0.00   0       0.00
68   1   0   0.00   0       0.00
70   2   0   0.00   0       0.00
77   1   0   0.00   0       0.00
78   1   0   0.00   0       0.00
82   2   0   0.00   0       0.00
84   1   0   0.00   0       0.00
86   1   0   0.00   0       0.00
91   1   0   0.00   0       0.00
94   1   0   0.00   0       0.00
