
Goodness-of-fit for model statistics 

                                 obs      min      mean       max MC p-value
edges                       812.0000 726.0000  783.0000  826.0000       0.24
edgecov.prior               479.0000 419.0000  456.8600  482.0000       0.10
nodecov.expertise_model_z  1275.1151 880.8618 1139.1044 1296.7564       0.06
absdiff.expertise_model_z   886.5952 695.4034  803.4960  912.4023       0.10
nodecov.leadership_model_z  844.1850 614.8962  783.0653  933.9991       0.38
absdiff.leadership_model_z  756.6924 639.8899  713.9120  811.7417       0.20

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1     812   726   783.00   826       0.24
2    1048  1999  2495.25  2961       0.00
3    1159  5166  6981.24  9048       0.00
4    1247 10253 14152.07 18314       0.00
5     557 14569 17720.08 20404       0.00
6     138 10941 13345.72 15332       0.00
7      60  4040  6747.93 10681       0.00
8       0   802  2659.22  5989       0.00
9       0   101   902.05  3022       0.00
10      0     4   281.07  1420       0.00
11      0     0    88.57   728       0.06
12      0     0    28.96   357       0.54
13      0     0     8.20   147       1.00
14      0     0     2.00    40       1.00
15      0     0     0.33     8       1.00
16      0     0     0.03     2       1.00
Inf 73982  7372 12807.28 19970       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  12 25.40  41       0.00
1  148  43 61.73  78       0.00
2   77  58 79.25 101       0.84
3   41  52 69.68  93       0.00
4   28  33 48.40  64       0.00
5   18  19 30.40  42       0.00
6    3   7 19.68  33       0.00
7   11   6 13.61  21       0.44
8   25   1  8.69  17       0.00
9    9   0  6.39  13       0.48
10   0   0  5.84  15       0.02
11   0   0  5.90  12       0.02
12   1   3  6.11  11       0.00
13  15   2  5.52  10       0.00
14   0   1  4.05  10       0.00
15   0   0  2.99   7       0.10
16   0   0  1.75   4       0.36
17   0   0  0.88   4       0.86
18  20   0  0.55   2       0.00
19   1   0  0.18   2       0.34
20   0   0  0.14   1       1.00
21   0   0  0.20   1       1.00
22   0   0  0.14   1       1.00
23   0   0  0.11   1       1.00
24   0   0  0.06   1       1.00
25   0   0  0.01   1       1.00
26   0   0  0.04   1       1.00
27   0   0  0.04   1       1.00
28   0   0  0.02   1       1.00
29   0   0  0.01   1       1.00
30   0   0  0.07   1       1.00
31   0   0  0.06   1       1.00
32   0   0  0.04   1       1.00
33   0   0  0.03   1       1.00
34   0   0  0.01   1       1.00
35   1   0  0.02   1       0.04

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0  112 358 416.70 496       0.00
1   99  65  86.05 114       0.16
2   55  24  50.94  78       0.86
3   54  12  35.89  62       0.10
4   44   9  25.80  47       0.06
5    8   5  17.69  40       0.06
6   49  12  27.11  47       0.00
7  107  19  36.09  50       0.00
8   22  20  34.89  50       0.12
9    0  11  25.83  60       0.00
10   0   4  15.40  35       0.00
11   0   0   6.92  21       0.06
12  91   0   2.89   9       0.00
13   0   0   0.64   5       1.00
14   0   0   0.14   2       1.00
15   0   0   0.02   1       1.00
17 171   0   0.00   0       0.00
