
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                       812.0000  693.0000  790.2700  889.0000       0.48
edgecov.prior               479.0000  435.0000  477.0800  514.0000       0.96
nodecov.expertise_model_z  1275.1151 1011.3616 1258.6438 1447.6223       0.88
absdiff.expertise_model_z   886.5952  694.9909  845.5393 1038.5519       0.50
nodecov.leadership_model_z  844.1850  642.4264  845.0914 1002.4078       0.84
absdiff.leadership_model_z  756.6924  631.9646  748.3308  857.6637       0.86
gwesp.fixed.0.25            866.3416  726.2362  841.4338  941.3222       0.52

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1     812   693   790.27   889       0.48
2    1048  1630  2756.38  3939       0.00
3    1159  3305  6703.44 10761       0.00
4    1247  5618 10322.58 14395       0.00
5     557  6947  9346.13 12066       0.00
6     138  2844  5507.81  8355       0.00
7      60   758  2474.81  5001       0.00
8       0   118   960.52  2758       0.00
9       0     6   335.71  1339       0.00
10      0     0   106.18   610       0.08
11      0     0    32.03   443       0.44
12      0     0    10.67   359       1.00
13      0     0     3.10   158       1.00
14      0     0     0.61    36       1.00
15      0     0     0.10     6       1.00
16      0     0     0.04     4       1.00
Inf 73982 32328 39652.62 49558       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  78 97.05 125       0.00
1  148  25 38.36  59       0.00
2   77  38 55.51  74       0.00
3   41  23 42.03  60       0.90
4   28  23 34.78  49       0.30
5   18  19 27.70  42       0.00
6    3   9 20.89  30       0.00
7   11   8 15.19  25       0.30
8   25   5 11.56  22       0.00
9    9   3  9.09  19       1.00
10   0   1  7.74  14       0.00
11   0   1  7.25  13       0.00
12   1   2  7.09  13       0.00
13  15   1  6.17  11       0.00
14   0   0  4.65  13       0.08
15   0   1  4.13   9       0.00
16   0   0  3.08   7       0.14
17   0   0  1.95   7       0.26
18  20   0  1.13   3       0.00
19   1   0  0.60   3       0.90
20   0   0  0.58   3       1.00
21   0   0  0.23   3       1.00
22   0   0  0.14   2       1.00
23   0   0  0.15   3       1.00
24   0   0  0.02   1       1.00
25   0   0  0.01   1       1.00
26   0   0  0.03   1       1.00
27   0   0  0.01   1       1.00
28   0   0  0.03   1       1.00
29   0   0  0.03   1       1.00
30   0   0  0.02   1       1.00
31   0   0  0.06   1       1.00
32   0   0  0.03   1       1.00
33   0   0  0.05   1       1.00
34   0   0  0.03   1       1.00
35   1   0  0.05   1       0.10
36   0   0  0.07   1       1.00
37   0   0  0.06   1       1.00
38   0   0  0.07   1       1.00
39   0   0  0.07   1       1.00
40   0   0  0.03   1       1.00
41   0   0  0.06   1       1.00
42   0   0  0.06   1       1.00
43   0   0  0.05   1       1.00
44   0   0  0.04   1       1.00
45   0   0  0.02   1       1.00
46   0   0  0.01   1       1.00
47   0   0  0.01   1       1.00
48   0   0  0.01   1       1.00
49   0   0  0.01   1       1.00
52   0   0  0.01   1       1.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0  112  52  71.75  93       0.00
1   99 200 250.24 304       0.00
2   55  88 139.02 187       0.00
3   54  51  84.15 112       0.04
4   44  30  52.18  75       0.50
5    8  12  29.54  51       0.00
6   49   7  27.73  48       0.00
7  107   9  33.27  52       0.00
8   22  24  35.24  54       0.00
9    0  13  31.31  55       0.00
10   0   7  19.48  44       0.00
11   0   1  10.18  35       0.00
12  91   0   4.18  16       0.00
13   0   0   1.50  14       0.98
14   0   0   0.37  10       1.00
15   0   0   0.10   3       1.00
16   0   0   0.03   1       1.00
17 171   0   0.00   0       0.00
