
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                       5272.000  5209.000  5301.150  5402.000       0.72
edgecov.prior               5093.000  5021.000  5117.620  5223.000       0.84
nodecov.expertise_model_z   8417.617  8360.709  8555.902  8748.632       0.22
absdiff.expertise_model_z   3648.810  3644.071  3712.132  3859.291       0.06
nodecov.leadership_model_z -1460.967 -1588.775 -1447.739 -1319.926       0.76
absdiff.leadership_model_z  3352.529  3286.239  3399.986  3605.883       0.46

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    5272  5209  5301.15  5402       0.72
2   20951 26993 28502.94 29503       0.00
3    3610 18210 19863.90 21589       0.00
4     783  4668  5989.53 10685       0.00
5     910   456  1078.68  3182       0.78
6    3477     5   211.81  1119       0.00
7    6294     0    53.36   786       0.00
8    4080     0    19.68   510       0.00
9     550     0     6.06   192       0.00
10      0     0     1.35    48       1.00
11      0     0     0.16     6       1.00
Inf 27609  6374 12507.38 16240       0.00

Goodness-of-fit for degree 

    obs min  mean max MC p-value
0     0  15 32.14  39       0.00
1    43  21 30.29  42       0.00
2    27  12 23.09  32       0.46
3     2   8 14.96  25       0.00
4    14   5 12.06  19       0.62
5     0   5 10.22  17       0.00
6    11   3  8.78  14       0.42
7     0   2  7.36  15       0.00
8     8   1  5.43  14       0.40
9     2   0  5.23  12       0.30
10   20   0  4.54  11       0.00
11   20   0  3.77  10       0.00
12   25   0  3.14  10       0.00
13    8   0  2.68   6       0.00
14    3   0  2.39   6       0.86
15    5   0  2.36   7       0.12
16    7   0  2.20   6       0.00
17   14   0  2.40   8       0.00
18   10   0  2.34   8       0.00
19    8   0  2.08   7       0.00
20    7   0  2.01   7       0.02
21   10   0  1.77   6       0.00
22    4   0  2.04   6       0.38
23    1   0  2.68   7       0.42
24    8   0  2.65   8       0.02
25    5   0  2.65   7       0.30
26    6   1  3.19   7       0.08
27    4   0  3.34   8       0.90
28    2   0  3.19   9       0.76
29    1   0  3.59  14       0.34
30    1   0  3.32  13       0.40
31    3   0  3.70   8       0.96
32    4   0  3.43   9       0.94
33    2   0  4.36  11       0.36
34    3   0  4.00   9       0.92
35    3   0  4.49  12       0.78
36    1   1  4.24  11       0.12
37    0   0  4.53  12       0.02
38    0   1  4.28   9       0.00
39    2   0  4.54   9       0.26
40    0   0  4.78  11       0.02
41    1   1  4.80  15       0.12
42    4   0  5.01  11       0.86
43    3   1  5.43  11       0.48
44    1   0  5.44  12       0.08
45    1   0  5.14  11       0.06
46    1   0  5.36  14       0.08
47    0   1  5.48  12       0.00
48    1   0  5.22  13       0.20
49    0   0  5.55  11       0.02
50    0   0  5.12  10       0.06
51    2   0  5.33  15       0.24
52    1   0  5.20  11       0.10
53    1   0  4.92  12       0.12
54    2   0  4.71  10       0.42
55    0   0  4.10  11       0.04
56    0   1  4.06   9       0.00
57    0   1  3.69   8       0.00
58    1   0  3.92  10       0.22
59    2   0  3.66   8       0.48
60    2   0  3.20   7       0.64
61    1   0  2.86   9       0.44
62    1   0  2.80   7       0.42
63    1   0  2.79   9       0.38
64    3   0  2.50   6       0.94
65    4   0  2.25   6       0.34
66    3   0  2.16   6       0.76
67    2   0  2.02   5       1.00
68    2   0  1.92   6       1.00
69    4   0  1.57   6       0.08
70    1   0  1.45   5       1.00
71    2   0  1.72   7       1.00
72    3   0  1.38   5       0.28
73    3   0  1.50   5       0.38
74    4   0  1.25   5       0.06
75    1   0  1.27   5       1.00
76    2   0  1.04   5       0.52
77    1   0  0.89   4       1.00
78    0   0  0.99   4       0.74
79    2   0  0.71   3       0.34
80    0   0  0.53   6       1.00
81    2   0  0.31   2       0.14
82    2   0  0.44   4       0.18
83    2   0  0.28   4       0.12
84    1   0  0.31   3       0.48
85    0   0  0.20   3       1.00
86    0   0  0.11   1       1.00
87    2   0  0.09   1       0.00
88    1   0  0.09   3       0.14
89    2   0  0.14   2       0.08
90    1   0  0.21   2       0.40
91    0   0  0.11   2       1.00
92    1   0  0.10   1       0.20
93    2   0  0.06   2       0.02
94    1   0  0.18   2       0.34
95    2   0  0.10   1       0.00
96    1   0  0.15   1       0.30
97    0   0  0.10   2       1.00
98    0   0  0.07   2       1.00
99    0   0  0.07   2       1.00
100   0   0  0.19   2       1.00
101   0   0  0.09   1       1.00
102   0   0  0.10   1       1.00
103   0   0  0.12   2       1.00
104   0   0  0.08   1       1.00
105   0   0  0.05   1       1.00
106   0   0  0.04   1       1.00
107   0   0  0.05   1       1.00
108   0   0  0.03   1       1.00
109   0   0  0.07   1       1.00
110   0   0  0.06   1       1.00
111   0   0  0.01   1       1.00
112   0   0  0.05   1       1.00
113   0   0  0.07   1       1.00
114   0   0  0.04   1       1.00
115   0   0  0.05   1       1.00
116   0   0  0.03   1       1.00
117   0   0  0.06   2       1.00
119   0   0  0.01   1       1.00
121   0   0  0.01   1       1.00
123   0   0  0.02   1       1.00
124   0   0  0.02   1       1.00
125   0   0  0.02   1       1.00
