
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                       5272.000  5071.000  5279.870  5403.000       0.82
edgecov.prior               5093.000  4939.000  5099.590  5213.000       0.82
nodecov.expertise_model_z   8417.617  8128.187  8407.159  8674.048       0.78
absdiff.expertise_model_z   3648.810  3452.912  3640.254  3745.615       0.98
nodecov.leadership_model_z -1460.967 -1709.983 -1506.189 -1284.517       0.58
absdiff.leadership_model_z  3352.529  3087.886  3331.723  3524.326       0.86
gwesp.fixed.0.25            6715.864  6441.459  6721.681  6877.459       0.88

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    5272  5071  5279.87  5403       0.82
2   20951 24402 26669.72 28171       0.00
3    3610  6863  9451.18 12520       0.00
4     783   524  2267.32  8367       0.14
5     910     6   457.17  2659       0.40
6    3477     0    97.87   699       0.00
7    6294     0    23.46   310       0.00
8    4080     0     3.65   123       0.00
9     550     0     0.31    15       0.00
10      0     0     0.01     1       1.00
Inf 27609 20865 29285.44 33350       0.64

Goodness-of-fit for degree 

    obs min  mean max MC p-value
0     0  27 81.13 100       0.00
1    43   3  9.08  18       0.00
2    27   4 13.22  32       0.04
3     2   3  8.57  21       0.00
4    14   1  6.78  16       0.06
5     0   1  6.00  13       0.00
6    11   1  5.64  12       0.10
7     0   1  5.16  12       0.00
8     8   1  4.79  10       0.18
9     2   0  4.51  10       0.38
10   20   0  3.91   9       0.00
11   20   0  3.95   9       0.00
12   25   0  3.23   9       0.00
13    8   0  2.83   8       0.02
14    3   0  2.30   7       0.70
15    5   0  2.40   8       0.16
16    7   0  2.19   6       0.00
17   14   0  2.27   7       0.00
18   10   0  2.16   9       0.00
19    8   0  1.93   7       0.00
20    7   0  1.94   7       0.02
21   10   0  2.05   7       0.00
22    4   0  2.26   6       0.42
23    1   0  2.10   6       0.76
24    8   0  2.57   8       0.02
25    5   0  2.72   7       0.32
26    6   0  2.67   8       0.12
27    4   0  2.90   7       0.64
28    2   0  2.76   8       1.00
29    1   0  2.85   8       0.46
30    1   0  3.23   8       0.32
31    3   0  3.29  11       1.00
32    4   0  3.22   8       0.80
33    2   0  3.84   9       0.48
34    3   1  3.88  11       0.96
35    3   1  3.95  10       0.90
36    1   0  4.29   9       0.08
37    0   0  4.67  10       0.02
38    0   1  4.59  11       0.00
39    2   0  5.20  13       0.14
40    0   0  5.20  13       0.02
41    1   1  5.34  12       0.02
42    4   0  4.82  11       0.92
