
Goodness-of-fit for model statistics 

                                obs       min      mean       max MC p-value
edges                      1209.000 1116.0000 1188.6300 1251.0000       0.72
edgecov.prior               826.000  759.0000  800.0600  855.0000       0.56
nodecov.expertise_model_z  2748.049 2444.0960 2644.9408 2839.5736       0.48
absdiff.expertise_model_z  2131.020 1929.2461 2066.9656 2195.4749       0.34
nodecov.leadership_model_z  793.298  638.5910  753.2689  909.0371       0.44
absdiff.leadership_model_z 1077.756  980.9775 1053.6527 1134.9443       0.56

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    1209  1116  1188.63  1251       0.72
2   21228 12678 14426.86 15783       0.00
3   25173 35469 38390.23 41703       0.00
4   10863 34416 37648.67 41292       0.00
5    2251 15222 18369.67 23000       0.00
6     214  3571  5897.57  8280       0.00
7       7   482  1514.43  2858       0.00
8       0    38   344.84  1045       0.00
9       0     0    73.96   474       0.04
10      0     0    14.34   171       0.66
11      0     0     2.12    34       1.00
12      0     0     0.26     8       1.00
13      0     0     0.05     2       1.00
14      0     0     0.01     1       1.00
Inf 75036  9728 18109.36 23878       0.00

Goodness-of-fit for degree 

    obs min  mean max MC p-value
0     0  18 30.76  45       0.00
1   168  52 75.16  99       0.00
2    93  77 94.65 116       0.88
3    63  69 85.01 107       0.00
4    58  44 63.89  81       0.46
5    20  33 45.30  62       0.00
6    19  17 30.55  44       0.06
7    15  14 22.58  36       0.08
8     4   7 16.54  28       0.00
9    21   6 12.47  19       0.00
10   11   3  8.89  15       0.52
11    5   2  6.91  15       0.66
12    3   1  5.24  11       0.36
13    6   0  4.14  10       0.54
14   13   0  3.26  11       0.00
15   11   0  2.72   7       0.00
16    1   0  2.43   8       0.74
17    3   0  1.56   6       0.44
18    0   0  1.37   5       0.54
19    2   0  1.33   5       0.68
20    0   0  0.68   5       0.96
21    1   0  0.64   2       1.00
22    1   0  0.47   3       0.74
23    1   0  0.28   2       0.50
24    0   0  0.26   2       1.00
25    0   0  0.41   2       1.00
26    0   0  0.30   2       1.00
27    0   0  0.33   2       1.00
28    0   0  0.23   2       1.00
29    0   0  0.17   2       1.00
30    0   0  0.24   2       1.00
31    0   0  0.14   1       1.00
32    0   0  0.35   2       1.00
33    0   0  0.25   2       1.00
34    0   0  0.27   2       1.00
35    0   0  0.23   2       1.00
36    0   0  0.18   1       1.00
37    0   0  0.23   2       1.00
38    0   0  0.21   2       1.00
39    0   0  0.10   2       1.00
40    0   0  0.13   2       1.00
41    0   0  0.06   1       1.00
42    0   0  0.06   1       1.00
44    0   0  0.01   1       1.00
45    0   0  0.01   1       1.00
46    1   0  0.00   0       0.00
66    1   0  0.00   0       0.00
117   0   0  0.01   1       1.00
118   0   0  0.02   1       1.00
119   0   0  0.01   1       1.00
120   0   0  0.04   1       1.00
121   0   0  0.01   1       1.00
122   0   0  0.01   1       1.00
123   0   0  0.05   1       1.00
124   0   0  0.04   1       1.00
125   0   0  0.02   1       1.00
126   0   0  0.05   1       1.00
127   0   0  0.13   1       1.00
128   0   0  0.05   1       1.00
129   0   0  0.03   1       1.00
130   0   0  0.03   1       1.00
131   0   0  0.02   1       1.00
132   0   0  0.04   1       1.00
133   0   0  0.03   1       1.00
134   0   0  0.03   1       1.00
135   0   0  0.02   1       1.00
136   0   0  0.02   1       1.00
138   0   0  0.05   1       1.00
139   0   0  0.09   1       1.00
140   0   0  0.01   1       1.00
141   0   0  0.05   1       1.00
142   0   0  0.02   1       1.00
143   0   0  0.04   1       1.00
144   0   0  0.05   1       1.00
145   0   0  0.01   1       1.00
146   0   0  0.01   1       1.00
147   0   0  0.01   1       1.00
194   1   0  0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0  149 556 710.90 777       0.00
1  145 221 260.11 295       0.00
2  127  81 119.59 158       0.68
3  159  30  55.42  92       0.00
4   58   6  25.26  75       0.06
5   71   1  10.22  39       0.00
6   71   0   3.83  22       0.00
7   26   0   1.26   5       0.00
8   91   0   0.89   3       0.00
9   61   0   0.60   3       0.00
10  25   0   0.24   2       0.00
11  17   0   0.14   2       0.00
12  47   0   0.09   1       0.00
13 105   0   0.04   1       0.00
14  47   0   0.04   1       0.00
15   2   0   0.00   0       0.00
16   3   0   0.00   0       0.00
17   2   0   0.00   0       0.00
22   1   0   0.00   0       0.00
23   1   0   0.00   0       0.00
35   1   0   0.00   0       0.00
