
Goodness-of-fit for model statistics 

                                obs       min      mean       max MC p-value
edges                      1209.000 1055.0000 1181.2700 1339.0000       0.54
edgecov.prior               826.000  758.0000  815.2100  878.0000       0.76
nodecov.expertise_model_z  2748.049 2374.9130 2663.6606 3081.9850       0.52
absdiff.expertise_model_z  2131.020 1799.3823 2036.1761 2281.8280       0.40
nodecov.leadership_model_z  793.298  608.2723  795.4886  977.4357       0.98
absdiff.leadership_model_z 1077.756  936.4492 1056.3623 1181.9840       0.76
gwesp.fixed.0.25           1309.456 1142.4254 1274.2910 1458.1667       0.54

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    1209  1055  1181.27  1339       0.54
2   21228 11544 15227.15 19275       0.00
3   25173 17070 22075.78 28770       0.20
4   10863  8159 12119.21 21637       0.48
5    2251  2096  4460.78 11547       0.02
6     214   414  1376.87  4303       0.00
7       7    12   364.28  1514       0.00
8       0     0    85.25   589       0.06
9       0     0    19.50   345       0.60
10      0     0     4.02   125       1.00
11      0     0     0.75    30       1.00
12      0     0     0.15     5       1.00
Inf 75036 52930 79065.99 93758       0.44

Goodness-of-fit for degree 

    obs min   mean max MC p-value
0     0  92 156.39 196       0.00
1   168  49  64.46  83       0.00
2    93  41  58.60  75       0.00
3    63  27  47.69  74       0.06
4    58  26  37.60  68       0.02
5    20  15  28.88  50       0.10
6    19  10  21.69  35       0.78
7    15   5  15.69  33       0.92
8     4   5  12.49  26       0.00
9    21   1   8.79  15       0.00
10   11   1   6.88  18       0.22
11    5   1   6.42  14       0.70
12    3   1   5.27  14       0.46
13    6   1   4.75  11       0.62
14   13   0   4.61  12       0.00
15   11   0   4.76  11       0.02
16    1   0   3.85  10       0.22
17    3   0   4.27  14       0.68
18    0   0   4.03  10       0.12
19    2   0   3.74   8       0.46
20    0   0   3.38   9       0.08
21    1   0   2.71   8       0.60
22    1   0   2.66   8       0.58
23    1   0   1.75   5       0.90
24    0   0   1.64   5       0.42
25    0   0   1.33   5       0.46
26    0   0   1.02   6       0.76
27    0   0   1.10   4       0.72
28    0   0   0.91   4       0.68
29    0   0   0.54   2       1.00
30    0   0   0.50   3       1.00
31    0   0   0.54   3       1.00
32    0   0   0.47   3       1.00
33    0   0   0.32   2       1.00
34    0   0   0.35   2       1.00
35    0   0   0.29   2       1.00
36    0   0   0.21   1       1.00
37    0   0   0.09   1       1.00
38    0   0   0.11   2       1.00
39    0   0   0.06   1       1.00
40    0   0   0.04   1       1.00
41    0   0   0.05   1       1.00
42    0   0   0.02   1       1.00
43    0   0   0.03   1       1.00
45    0   0   0.01   1       1.00
46    1   0   0.00   0       0.00
54    0   0   0.01   1       1.00
66    1   0   0.00   0       0.00
120   0   0   0.01   1       1.00
121   0   0   0.01   1       1.00
122   0   0   0.01   1       1.00
123   0   0   0.01   1       1.00
129   0   0   0.01   1       1.00
130   0   0   0.02   1       1.00
132   0   0   0.02   1       1.00
133   0   0   0.04   1       1.00
134   0   0   0.02   1       1.00
135   0   0   0.02   1       1.00
136   0   0   0.02   1       1.00
137   0   0   0.01   1       1.00
138   0   0   0.06   1       1.00
139   0   0   0.02   1       1.00
140   0   0   0.04   1       1.00
141   0   0   0.07   1       1.00
142   0   0   0.01   1       1.00
143   0   0   0.03   1       1.00
144   0   0   0.02   1       1.00
146   0   0   0.02   1       1.00
147   0   0   0.01   1       1.00
148   0   0   0.03   1       1.00
149   0   0   0.02   1       1.00
150   0   0   0.03   1       1.00
151   0   0   0.01   1       1.00
152   0   0   0.02   1       1.00
153   0   0   0.01   1       1.00
154   0   0   0.03   1       1.00
155   0   0   0.02   1       1.00
156   0   0   0.04   1       1.00
157   0   0   0.03   1       1.00
159   0   0   0.02   1       1.00
160   0   0   0.01   1       1.00
161   0   0   0.01   1       1.00
162   0   0   0.02   1       1.00
163   0   0   0.02   1       1.00
164   0   0   0.02   1       1.00
165   0   0   0.04   1       1.00
166   0   0   0.02   1       1.00
167   0   0   0.01   1       1.00
168   0   0   0.01   1       1.00
169   0   0   0.01   1       1.00
170   0   0   0.01   1       1.00
171   0   0   0.02   1       1.00
172   0   0   0.01   1       1.00
173   0   0   0.03   1       1.00
174   0   0   0.01   1       1.00
179   0   0   0.01   1       1.00
194   1   0   0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0  149  77  97.83 124       0.00
1  145 281 350.02 440       0.00
2  127 183 235.77 320       0.00
3  159 118 160.44 202       0.98
4   58  75 113.89 138       0.00
5   71  49  83.43 106       0.20
6   71  29  56.74  86       0.20
7   26  16  34.67  59       0.30
8   91   4  19.97  38       0.00
9   61   4  10.97  23       0.00
10  25   1   6.08  14       0.00
11  17   0   3.57  10       0.00
12  47   0   2.29   9       0.00
13 105   0   1.48   7       0.00
14  47   0   1.11   6       0.00
15   2   0   0.79   5       0.28
16   3   0   0.68   4       0.14
17   2   0   0.41   3       0.16
18   0   0   0.33   2       1.00
19   0   0   0.33   3       1.00
20   0   0   0.21   1       1.00
21   0   0   0.11   1       1.00
22   1   0   0.03   1       0.06
23   1   0   0.05   1       0.10
24   0   0   0.04   1       1.00
25   0   0   0.01   1       1.00
26   0   0   0.01   1       1.00
27   0   0   0.01   1       1.00
35   1   0   0.00   0       0.00
