
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      1653.0000 1466.0000 1579.8900 1655.0000       0.02
edgecov.prior              1333.0000 1177.0000 1263.3400 1319.0000       0.00
nodecov.expertise_model_z  1551.0846 1141.2617 1355.0233 1527.3992       0.00
absdiff.expertise_model_z  1216.7607 1030.8672 1145.9644 1253.4631       0.12
nodecov.leadership_model_z  554.1336  291.7564  443.0125  569.9409       0.04
absdiff.leadership_model_z 1430.4445 1240.6239 1362.5262 1450.3060       0.16

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    1653  1466  1579.89  1655       0.02
2    1639  5069  6361.83  7659       0.00
3    2163 15966 20694.05 25137       0.00
4    1450 27753 31477.06 33792       0.00
5    1323 13598 17697.27 21307       0.00
6     647  3029  5107.20  8100       0.00
7     324   277  1090.38  2336       0.02
8     106     9   187.91   667       0.84
9      24     0    26.22   218       0.58
10      0     0     3.12    47       1.00
11      0     0     0.25     3       1.00
12      0     0     0.01     1       1.00
Inf 79502  1260  4605.81  8228       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0   3  8.26  16       0.00
1   89  21 29.52  42       0.00
2   49  29 44.00  63       0.48
3   32  37 51.63  67       0.00
4   15  32 43.31  56       0.00
5   32  24 33.98  52       0.86
6   14  16 25.98  39       0.00
7   20  10 19.45  28       1.00
8   21   7 17.12  29       0.46
9   17   5 14.33  23       0.52
10   1   7 13.98  23       0.00
11  13   6 14.47  24       0.80
12   3   6 14.52  26       0.00
13   4   7 13.71  26       0.00
14  22   5 12.96  20       0.00
15   0   6 12.02  23       0.00
16  10   3 10.56  21       1.00
17  21   4 11.09  19       0.00
18  20   4 10.02  16       0.00
19   6   3  7.33  13       0.74
20   9   1  5.61  10       0.18
21  20   0  3.46   9       0.00
22   0   0  1.76   5       0.28
23   1   0  1.35   6       1.00
24   0   0  0.50   2       1.00
25   1   0  0.43   2       0.68
26   0   0  0.18   2       1.00
27   0   0  0.12   1       1.00
28   0   0  0.08   1       1.00
29   1   0  0.08   1       0.16
30   0   0  0.04   1       1.00
31   0   0  0.04   1       1.00
32   0   0  0.03   1       1.00
33   0   0  0.02   1       1.00
34   0   0  0.05   1       1.00
35   0   0  0.01   1       1.00
41   1   0  0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0   64 402 463.99 520       0.00
1   77 101 149.91 191       0.00
2   62  78 105.83 141       0.00
3   19  73  93.20 112       0.00
4   94  60  86.82 115       0.48
5   44  57  80.68 103       0.00
6   70  61  80.88 111       0.30
7   80  61  81.10 104       0.88
8  110  62  83.58 111       0.06
9   31  45  79.11 104       0.00
10  90  48  69.93 101       0.14
11  39  40  61.74  86       0.00
12  52  30  51.25  72       1.00
13 127  18  42.93  64       0.00
14  13   6  28.15  53       0.14
15  70   0  15.26  28       0.00
16 162   0   4.93  14       0.00
17 180   0   0.52   3       0.00
18  15   0   0.08   1       0.00
19  22   0   0.00   0       0.00
20 231   0   0.00   0       0.00
21   1   0   0.00   0       0.00
