
Goodness-of-fit for model statistics 

                                 obs       min      mean       max MC p-value
edges                      1653.0000 1168.0000 1260.2000 1347.0000       0.00
edgecov.prior              1333.0000 1016.0000 1122.7000 1204.0000       0.00
nodecov.expertise_model_z  1551.0846 1105.5916 1377.2448 1574.8965       0.08
absdiff.expertise_model_z  1216.7607  785.1659  888.3731  985.5120       0.00
nodecov.leadership_model_z  554.1336  428.4150  592.4300  728.2016       0.74
absdiff.leadership_model_z 1430.4445  990.0247 1103.5154 1209.3192       0.00
gwesp.fixed.0.25           2013.9542 1459.9686 1581.4316 1695.0555       0.00

Goodness-of-fit for minimum geodesic distance 

      obs   min     mean   max MC p-value
1    1653  1168  1260.20  1347       0.00
2    1639  1685  2363.44  3061       0.00
3    2163  1498  2854.38  4590       0.66
4    1450  1003  2316.39  4220       0.24
5    1323   410  1714.09  3381       0.96
6     647   106  1419.92  2802       0.40
7     324     8  1110.18  2021       0.38
8     106     0   784.33  2248       0.38
9      24     0   428.31  1970       0.54
10      0     0   175.97  1174       0.62
11      0     0    53.17   932       1.00
12      0     0    16.61   358       1.00
13      0     0     4.16   190       1.00
14      0     0     3.93   378       1.00
15      0     0     2.68   268       1.00
16      0     0     0.76    76       1.00
17      0     0     0.08     8       1.00
Inf 79502 70087 74322.40 82389       0.38

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  82 89.92  93       0.00
1   89   0  0.37   3       0.00
2   49  32 42.09  53       0.14
3   32  40 50.05  65       0.00
4   15  16 30.34  41       0.00
5   32  17 25.86  35       0.14
6   14   8 18.59  29       0.24
7   20  11 18.04  26       0.74
8   21   9 16.82  27       0.26
9   17  10 17.98  29       0.90
10   1   9 18.94  29       0.00
11  13   7 18.63  29       0.18
12   3   8 17.06  28       0.00
13   4   7 14.09  23       0.00
14  22   4 10.68  19       0.00
15   0   1  8.91  15       0.00
16  10   0  6.47  14       0.38
17  21   0  5.00  11       0.00
18  20   0  3.71   9       0.00
19   6   0  2.49   6       0.02
20   9   0  1.72   6       0.00
21  20   0  1.25   6       0.00
22   0   0  0.86   5       0.76
23   1   0  0.77   3       1.00
24   0   0  0.46   2       1.00
25   1   0  0.32   3       0.56
26   0   0  0.24   2       1.00
27   0   0  0.10   1       1.00
28   0   0  0.07   1       1.00
29   1   0  0.03   1       0.06
32   0   0  0.03   1       1.00
33   0   0  0.05   1       1.00
34   0   0  0.02   1       1.00
35   0   0  0.01   1       1.00
36   0   0  0.02   1       1.00
39   0   0  0.01   1       1.00
41   1   0  0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0   64   0   0.40   3       0.00
1   77  52  73.72  95       0.72
2   62 153 192.98 224       0.00
3   19 142 177.90 221       0.00
4   94 124 166.70 200       0.00
5   44 124 160.13 196       0.00
6   70 113 149.40 187       0.00
7   80  98 126.35 156       0.00
8  110  63  93.64 130       0.20
9   31  36  58.64  91       0.00
10  90  13  33.33  66       0.00
11  39   2  16.05  36       0.00
12  52   0   7.06  18       0.00
13 127   0   2.74  13       0.00
14  13   0   0.90   4       0.00
15  70   0   0.21   2       0.00
16 162   0   0.05   1       0.00
17 180   0   0.00   0       0.00
18  15   0   0.00   0       0.00
19  22   0   0.00   0       0.00
20 231   0   0.00   0       0.00
21   1   0   0.00   0       0.00
