
Goodness-of-fit for model statistics 

                                obs      min     mean       max MC p-value
edges                      512.0000 476.0000 521.5700  553.0000       0.48
edgecov.prior              409.0000 395.0000 417.8700  445.0000       0.48
nodecov.expertise_model_z  926.8510 858.7142 953.7565 1036.6670       0.52
absdiff.expertise_model_z  668.3435 628.8075 685.6133  767.8886       0.50
nodecov.leadership_model_z 273.4907 232.5048 278.2581  335.1687       0.88
absdiff.leadership_model_z 493.7694 443.5699 508.2944  570.8452       0.56

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1    512  476  521.57  553       0.48
2   2435 2576 3043.27 3542       0.00
3   2444 4607 5407.60 6029       0.00
4    570 2144 2681.62 3246       0.00
5    195  298  619.27 1178       0.00
6     21    9  107.36  459       0.12
7      2    0   17.40  206       0.66
8      0    0    3.21   83       1.00
9      0    0    0.34   15       1.00
10     0    0    0.04    2       1.00
11     0    0    0.01    1       1.00
Inf 7187  163  964.31 2041       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0   1  5.44  13       0.00
1   40   7 13.76  20       0.00
2   30  10 18.83  28       0.00
3    6   8 17.75  26       0.00
4   15   7 15.85  24       0.90
5    2   3 13.03  22       0.00
6   18   3 11.68  22       0.06
7    2   6 11.39  19       0.00
8    9   4 10.78  19       0.58
9    0   5 10.29  18       0.00
10  10   2  8.94  18       0.80
11  10   0  7.18  14       0.36
12   2   0  5.57  13       0.12
13   0   0  3.59  10       0.06
14   0   0  2.34   8       0.10
15   0   0  1.55   5       0.50
16   0   0  1.20   4       0.50
17  17   0  0.76   3       0.00
18   0   0  0.74   3       0.86
19   0   0  0.68   4       0.98
20   1   0  0.51   3       0.88
21   0   0  0.49   3       1.00
22   0   0  0.27   2       1.00
23   0   0  0.19   2       1.00
24   0   0  0.13   1       1.00
25   0   0  0.05   1       1.00
26   0   0  0.01   1       1.00
34   1   0  0.00   0       0.00
36   0   0  0.01   1       1.00
40   0   0  0.01   1       1.00
41   0   0  0.03   1       1.00
42   0   0  0.02   1       1.00
43   0   0  0.06   1       1.00
44   0   0  0.04   1       1.00
45   0   0  0.03   1       1.00
46   0   0  0.06   1       1.00
47   0   0  0.04   1       1.00
48   0   0  0.07   1       1.00
49   0   0  0.10   1       1.00
50   0   0  0.07   1       1.00
51   0   0  0.13   1       1.00
52   0   0  0.06   1       1.00
53   0   0  0.06   1       1.00
54   0   0  0.06   1       1.00
55   0   0  0.05   1       1.00
56   0   0  0.02   1       1.00
57   0   0  0.04   1       1.00
58   0   0  0.03   1       1.00
59   0   0  0.01   1       1.00
65   1   0  0.00   0       0.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0   35 120 152.20 183       0.00
1   47  78 100.63 138       0.00
2   12  57  80.62 100       0.00
3   34  32  58.24  87       0.02
4    7  31  44.94  63       0.00
5   62  20  35.58  51       0.00
6    3  12  26.02  49       0.00
7   36   3  13.77  26       0.00
8    0   0   5.65  13       0.06
9   54   0   2.45  11       0.00
10  64   0   1.13   9       0.00
11   5   0   0.26   4       0.00
12   0   0   0.07   1       1.00
13   0   0   0.01   1       1.00
16 153   0   0.00   0       0.00
