
Goodness-of-fit for model statistics 

                                obs      min     mean       max MC p-value
edges                      512.0000 456.0000 519.1000  577.0000       0.70
edgecov.prior              409.0000 380.0000 414.8700  450.0000       0.70
nodecov.expertise_model_z  926.8510 832.1171 960.7999 1098.9665       0.56
absdiff.expertise_model_z  668.3435 604.2424 692.7757  774.4620       0.50
nodecov.leadership_model_z 273.4907 201.3867 273.9841  371.9428       0.84
absdiff.leadership_model_z 493.7694 417.1066 503.7493  594.1289       0.72
gwesp.fixed.0.25           597.8391 532.4249 606.3610  676.0817       0.72

Goodness-of-fit for minimum geodesic distance 

     obs  min    mean  max MC p-value
1    512  456  519.10  577       0.70
2   2435 2307 2887.14 3382       0.06
3   2444 3312 3928.90 4578       0.00
4    570 1012 1507.88 2089       0.00
5    195   94  307.31  736       0.50
6     21    0   56.85  387       0.76
7      2    0   12.25  282       0.86
8      0    0    2.32   87       1.00
9      0    0    0.21    9       1.00
Inf 7187 2781 4144.04 5738       0.00

Goodness-of-fit for degree 

   obs min  mean max MC p-value
0    0  18 25.45  37       0.00
1   40   2  7.92  14       0.00
2   30   4 12.03  20       0.00
3    6   6 13.50  24       0.02
4   15   4 12.42  19       0.44
5    2   2 12.12  18       0.02
6   18   4 11.54  22       0.06
7    2   2 10.68  19       0.02
8    9   4 10.78  22       0.76
9    0   2  9.76  19       0.00
10  10   2  7.94  16       0.48
11  10   2  6.96  13       0.36
12   2   1  5.49  12       0.18
13   0   1  4.18   8       0.00
14   0   0  3.36   9       0.08
15   0   0  2.36  10       0.18
16   0   0  1.59   5       0.34
17  17   0  1.08   4       0.00
18   0   0  0.75   3       0.86
19   0   0  0.73   3       0.98
20   1   0  0.56   3       0.92
21   0   0  0.52   2       1.00
22   0   0  0.45   2       1.00
23   0   0  0.33   2       1.00
24   0   0  0.16   2       1.00
25   0   0  0.10   1       1.00
26   0   0  0.12   1       1.00
27   0   0  0.02   1       1.00
28   0   0  0.03   1       1.00
29   0   0  0.03   1       1.00
30   0   0  0.02   1       1.00
32   0   0  0.02   1       1.00
34   1   0  0.00   0       0.00
37   0   0  0.01   1       1.00
39   0   0  0.01   1       1.00
40   0   0  0.01   1       1.00
42   0   0  0.01   1       1.00
44   0   0  0.01   1       1.00
46   0   0  0.01   1       1.00
47   0   0  0.05   1       1.00
48   0   0  0.02   1       1.00
49   0   0  0.05   1       1.00
50   0   0  0.02   1       1.00
51   0   0  0.06   1       1.00
52   0   0  0.06   1       1.00
53   0   0  0.05   1       1.00
54   0   0  0.07   1       1.00
55   0   0  0.08   1       1.00
56   0   0  0.11   1       1.00
57   0   0  0.05   1       1.00
58   0   0  0.03   1       1.00
59   0   0  0.06   1       1.00
60   0   0  0.04   1       1.00
61   0   0  0.03   1       1.00
62   0   0  0.04   1       1.00
63   0   0  0.02   1       1.00
64   0   0  0.05   1       1.00
65   1   0  0.02   1       0.04
66   0   0  0.02   1       1.00
68   0   0  0.01   1       1.00

Goodness-of-fit for edgewise shared partner 

   obs min   mean max MC p-value
0   35   9  17.56  30       0.00
1   47  74 102.45 132       0.00
2   12  84 111.47 151       0.00
3   34  64  91.15 118       0.00
4    7  42  71.05 102       0.00
5   62  33  53.12  79       0.38
6    3  18  36.23  51       0.00
7   36   5  19.64  37       0.04
8    0   2   9.84  27       0.00
9   54   0   3.86  13       0.00
10  64   0   1.62   5       0.00
11   5   0   0.64   5       0.02
12   0   0   0.23   2       1.00
13   0   0   0.10   1       1.00
14   0   0   0.07   2       1.00
15   0   0   0.05   1       1.00
16 153   0   0.02   1       0.00
