"language","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"C","m5_full_gwesp","edges",-13.8341697404761,2.49978191537336,-5.53415066146272,3.12740070717247e-08,9.81513822320224e-07,7.31204905042578e-09,0.000131750946521558,"***","ok",NA
"C","m5_full_gwesp","edgecov.prior",3.47893857740482,0.130746720251846,26.6082282653336,5.45181980662462e-156,32.4252868718041,25.0951601719663,41.896494045625,"***","ok",NA
"C","m5_full_gwesp","nodecov.expertise_model_z",0.371886419011991,0.0350181635536014,10.6198150123651,2.41038308985069e-26,1.4504682263226,1.35425409375641,1.55351797367345,"***","ok",NA
"C","m5_full_gwesp","absdiff.expertise_model_z",-1.2240104203915,0.0562951906215252,-21.742717395178,8.09608368230332e-105,0.294048540834799,0.263329548781129,0.328351089983226,"***","ok",NA
"C","m5_full_gwesp","nodecov.leadership_model_z",-0.0334722303147699,0.0259812578160989,-1.28832216483489,0.197633840630204,0.967081766414766,0.919067696945045,1.01760419394636,"","ok",NA
"C","m5_full_gwesp","absdiff.leadership_model_z",0.0247449993832689,0.0389933812396042,0.634594861913034,0.525692680085673,1.02505369786924,0.949630774983844,1.10646696715708,"","ok",NA
"C","m5_full_gwesp","gwesp.fixed.0.25",8.77760051291705,1.9632936764772,4.47085457366061,7.79076630157574e-06,6487.29230888543,138.31655112325,304265.549994978,"***","ok",NA
"C++","m5_full_gwesp","edges",-10.7145011359254,1.03016284531559,-10.4007838999891,2.45901840151585e-25,2.22203696955998e-05,2.95025098153826e-06,0.000167356890142171,"***","ok",NA
"C++","m5_full_gwesp","edgecov.prior",3.18581013817843,0.130084822914585,24.4902523353571,1.87625096366376e-132,24.186875181778,18.7434411383587,31.2111808467064,"***","ok",NA
"C++","m5_full_gwesp","nodecov.expertise_model_z",0.0685926692509543,0.0235659318265328,2.91067078339445,0.00360653805625829,1.07099986910811,1.02265628464219,1.12162877875524,"**","ok",NA
"C++","m5_full_gwesp","absdiff.expertise_model_z",-0.0877278853554927,0.0363504151636759,-2.41339431641917,0.0158047106141151,0.916010102576213,0.853017940837948,0.983653998176678,"*","ok",NA
"C++","m5_full_gwesp","nodecov.leadership_model_z",0.191342073515521,0.0220831990165279,8.66459942566808,4.53103299548437e-18,1.21087358903007,1.15958131363462,1.26443469842993,"***","ok",NA
"C++","m5_full_gwesp","absdiff.leadership_model_z",-0.494129656634519,0.0319619332513457,-15.4599426996086,6.4656021778106e-54,0.610101674232501,0.573054160491207,0.649544281437972,"***","ok",NA
"C++","m5_full_gwesp","gwesp.fixed.0.25",5.44008149732655,0.821848815193103,6.61932145761912,3.60851383304991e-11,230.460964647817,46.0283642019889,1153.90275425229,"***","ok",NA
"CSS","m5_full_gwesp","edges",-5.97538442764448,0.194564701610536,-30.7115544504343,3.99018717353098e-207,0.00254052525088158,0.00173502884076679,0.00371997767340541,"***","ok",NA
"CSS","m5_full_gwesp","edgecov.prior",4.70083961024164,0.223057609516651,21.074553880623,1.36183324792409e-98,110.039523988376,71.068677310785,170.380219497216,"***","ok",NA
"CSS","m5_full_gwesp","nodecov.expertise_model_z",-0.477783929656543,0.0503397414625527,-9.49118759403965,2.28416923588533e-21,0.620156179865389,0.56188963750251,0.684464816141969,"***","ok",NA
"CSS","m5_full_gwesp","absdiff.expertise_model_z",0.374905430161156,0.0741637185995073,5.05510561283596,4.30152661805006e-07,1.45485382282072,1.25802690063988,1.68247566462966,"***","ok",NA
"CSS","m5_full_gwesp","nodecov.leadership_model_z",0.177734823009952,0.0456067524039379,3.89711640582867,9.73448363588517e-05,1.19450852305813,1.09236556556126,1.30620248078344,"***","ok",NA
"CSS","m5_full_gwesp","absdiff.leadership_model_z",-0.24590873936417,0.0833988488899156,-2.9485867327589,0.00319230548491684,0.781993586901114,0.664068160652847,0.92086024626341,"**","ok",NA
"CSS","m5_full_gwesp","gwesp.fixed.0.25",1.8817614924635,0.15731004404905,11.9621191630762,5.61114023625568e-33,6.56505898487789,4.82318166191161,8.93600998181017,"***","ok",NA
"HTML","m5_full_gwesp","edges",-6.95649814378824,0.124042833856752,-56.0814190348295,0,0.000952426000459007,0.000746867997853336,0.0012145590505385,"***","ok",NA
"HTML","m5_full_gwesp","edgecov.prior",5.26247020866373,0.145815233046525,36.0899893564936,3.25604235815838e-285,192.957548482876,144.991098646667,256.792422873176,"***","ok",NA
"HTML","m5_full_gwesp","nodecov.expertise_model_z",-0.371611156761669,0.0268446289501513,-13.8430356944671,1.40160043043089e-43,0.689622345381856,0.654275586953759,0.726878686493897,"***","ok",NA
"HTML","m5_full_gwesp","absdiff.expertise_model_z",0.105102086345499,0.0397126065360631,2.64656731232325,0.00813133204802675,1.11082400453072,1.02764047927785,1.20074091467163,"**","ok",NA
"HTML","m5_full_gwesp","nodecov.leadership_model_z",-0.00193136363715841,0.0287395873684123,-0.0672022048333639,0.946420729891529,0.998070500245453,0.943403729505996,1.05590500896348,"","ok",NA
"HTML","m5_full_gwesp","absdiff.leadership_model_z",-0.0471109556601885,0.047720122856435,-0.987234584494278,0.32352765100769,0.953981542066037,0.868799942088978,1.04751478276398,"","ok",NA
"HTML","m5_full_gwesp","gwesp.fixed.0.25",2.57544598753987,0.102973443758955,25.0107784446696,4.66707774145075e-138,13.1371748684606,10.7361659534642,16.0751393255824,"***","ok",NA
"Java","m5_full_gwesp","edges",-7.9243263069417,0.240731189784955,-32.9177383039584,1.22531229108559e-237,0.000361833532476445,0.000225732601383621,0.00057999378212049,"***","ok",NA
"Java","m5_full_gwesp","edgecov.prior",2.92284359704133,0.0689545416700852,42.3879780250842,0,18.5940864438493,16.2434978333374,21.2848275801633,"***","ok",NA
