"language","model","AIC","BIC","logLik","status","error"
"C","m0_edges",13684.7948120895,13692.1295800399,-6841.39740604476,"ok",NA
"C","m1_prior",8334.51369926265,8349.18323516335,-4165.25684963132,"ok",NA
"C","m2_prior_expertise",7999.27119007972,8021.27549393077,-3996.63559503986,"ok",NA
"C","m3_prior_expertise_similarity",7342.28310532133,7371.62217712273,-3667.14155266066,"ok",NA
"C","m4_full",7344.6536535217,7388.66226122381,-3666.32682676085,"ok",NA
"C","m5_full_gwesp",7233.88005581,7285.22343146246,-3609.940027905,"ok",NA
"C++","m0_edges",16167.0535975477,16174.9217687551,-8082.52679877386,"ok",NA
"C++","m1_prior",12497.1352719424,12512.8716143572,-6246.56763597119,"ok",NA
"C++","m2_prior_expertise",12496.6874863308,12520.291999953,-6245.34374316538,"ok",NA
"C++","m3_prior_expertise_similarity",12472.8640357818,12504.3367206114,-6232.4320178909,"ok",NA
"C++","m4_full",12211.2231705519,12258.4321977964,-6099.61158527596,"ok",NA
"C++","m5_full_gwesp",12017.8583688957,12072.9355673476,-6001.92918444786,"ok",NA
"CSS","m0_edges",2767.79814874457,2775.18537928335,-1382.89907437229,"ok",NA
"CSS","m1_prior",1529.42725684949,1544.20171792703,-762.713628424744,"ok",NA
"CSS","m2_prior_expertise",1486.73075203436,1508.89244365068,-740.365376017182,"ok",NA
"CSS","m3_prior_expertise_similarity",1478.68180908712,1508.23073124221,-735.340904543559,"ok",NA
"CSS","m4_full",1467.892036007,1512.21541923964,-727.946018003502,"ok",NA
"CSS","m5_full_gwesp",1266.46663326951,1318.17724704092,-626.233316634755,"ok",NA
"HTML","m0_edges",9051.87645226388,9061.15369336929,-4524.93822613194,"ok",NA
"HTML","m1_prior",5380.02598782487,5398.58047003569,-2688.01299391244,"ok",NA
"HTML","m2_prior_expertise",5123.5168322253,5151.34855554153,-2558.75841611265,"ok",NA
"HTML","m3_prior_expertise_similarity",5123.76471914804,5160.87368356969,-2557.88235957402,"ok",NA
"HTML","m4_full",5111.31711834101,5166.98056497348,-2549.65855917051,"ok",NA
"HTML","m5_full_gwesp",4095.08509508102,4160.02578281891,-2040.54254754051,"ok",NA
"Java","m0_edges",37945.9564018717,37955.1619322329,-18971.9782009359,"ok",NA
"Java","m1_prior",26283.6684039791,26302.0794647015,-13139.8342019895,"ok",NA
"Java","m2_prior_expertise",25888.446229136,25916.0628202196,-12941.223114568,"ok",NA
"Java","m3_prior_expertise_similarity",25674.301002884,25711.1231243289,-12833.150501442,"ok",NA
"Java","m4_full",25387.8589297744,25443.0921119416,-12687.9294648872,"ok",NA
"Java","m5_full_gwesp",24941.476555803,25005.9152683315,-12463.7382779015,"ok",NA
"JavaScript","m0_edges",13828.7596698396,13838.5799402887,-6913.3798349198,"ok",NA
"JavaScript","m1_prior",9389.4402209994,9409.08076189755,-4692.7201104997,"ok",NA
"JavaScript","m2_prior_expertise",9384.56022189898,9414.0210332462,-4689.28011094949,"ok",NA
"JavaScript","m3_prior_expertise_similarity",9182.86409534172,9222.14517713802,-4587.43204767086,"ok",NA
"JavaScript","m4_full",9023.08481178428,9082.00643447874,-4505.54240589214,"ok",NA
"JavaScript","m5_full_gwesp",7711.65115015239,7780.39304329592,-3848.8255750762,"ok",NA
"Jupyter Notebook","m0_edges",3946.14802615339,3953.59895699028,-1972.07401307669,"ok",NA
"Jupyter Notebook","m1_prior",2072.1326279528,2087.03448962659,-1034.0663139764,"ok",NA
"Jupyter Notebook","m2_prior_expertise",2015.03248377237,2037.38527628305,-1004.51624188618,"ok",NA
"Jupyter Notebook","m3_prior_expertise_similarity",1995.28815474668,2025.09187809425,-993.644077373338,"ok",NA
"Jupyter Notebook","m4_full",1996.3053633302,2041.01094835156,-992.152681665099,"ok",NA
"Jupyter Notebook","m5_full_gwesp",1670.4236553154,1722.58017117366,-828.2118276577,"ok",NA
"logs",NA,NA,NA,NA,"folder_failed","Missing required GitHub ERGM input file(s) in folder logs:
- gh_nodes.csv
- gh_edges.csv
- gh_prior_mat.csv"
"Python","m0_edges",16448.6274077686,16458.0218987358,-8223.3137038843,"ok",NA
"Python","m1_prior",8035.81091040132,8054.59989233563,-4015.90545520066,"ok",NA
"Python","m2_prior_expertise",7171.8210018357,7200.00447473717,-3582.91050091785,"ok",NA
"Python","m3_prior_expertise_similarity",7162.74346441413,7200.32142828276,-3577.37173220706,"ok",NA
"Python","m4_full",7049.9169374089,7106.28388321185,-3518.95846870445,"ok",NA
"Python","m5_full_gwesp",6179.15429013121,6244.91572690131,-3082.5771450656,"ok",NA
"Ruby","m0_edges",393.486145929137,397.492499088739,-195.743072964569,"ok",NA
"Ruby","m1_prior",345.607975868603,353.620682187807,-170.803987934302,"ok",NA
"Ruby","m2_prior_expertise",346.964446647566,358.983506126371,-170.482223323783,"ok",NA
"Ruby","m3_prior_expertise_similarity",336.433096344519,352.458508982925,-164.216548172259,"ok",NA
"Ruby","m4_full",330.545661840181,354.583780797791,-159.27283092009,"ok",NA
"Ruby","m5_full_gwesp",320.688369295841,348.732841413053,-153.34418464792,"ok",NA
"TypeScript","m0_edges",4346.56821075383,4354.0686802019,-2172.28410537691,"ok",NA
"TypeScript","m1_prior",2354.08384499307,2369.08478388921,-1175.04192249653,"ok",NA
"TypeScript","m2_prior_expertise",2270.99810929429,2293.4995176385,-1132.49905464714,"ok",NA
"TypeScript","m3_prior_expertise_similarity",2228.78410581173,2258.78598360402,-1110.39205290587,"ok",NA
"TypeScript","m4_full",2210.58428285651,2255.58709954494,-1099.29214142826,"ok",NA
"TypeScript","m5_full_gwesp",1915.73166991151,1968.23495604801,-950.865834955757,"ok",NA
