"language","input_number_of_nodes","isolates_removed","number_of_nodes","number_of_edges","possible_dyads","density","number_of_prior_dyads","isolates","mean_degree","median_degree","max_degree","expertise_column_used","leadership_column_used","expertise_mean","expertise_sd","leadership_mean","leadership_sd","estimation_method","gwesp_decay","gwesp_fixed","nodes_file","edges_file","prior_matrix_file","prior_edges_file","script_version"
"C",155,4,151,3309,11325,0.292185430463576,5604,0,43.8278145695364,48,93,"expertise_z","leadership_z",-0.00936446952484028,1.00327400779471,0.00216755753140118,0.993428092649486,"MLE",0.25,TRUE,"data/processed/languages/C/gh_nodes.csv","data/processed/languages/C/gh_edges.csv","data/processed/languages/C/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"C++",210,13,197,2851,19306,0.147674298145654,9924,0,28.9441624365482,25,124,"expertise_z","leadership_z",0.0506937458568197,0.939193076024068,-0.0247388902780315,0.990952591956743,"MLE",0.25,TRUE,"data/processed/languages/C++/gh_nodes.csv","data/processed/languages/C++/gh_edges.csv","data/processed/languages/C++/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"CSS",405,250,155,295,11935,0.0247172182656054,379,0,3.80645161290323,2,29,"expertise_z","leadership_z",0.460955450757398,1.06266677399274,0.361418893722813,1.17578411167102,"MLE",0.25,TRUE,"data/processed/languages/CSS/gh_nodes.csv","data/processed/languages/CSS/gh_edges.csv","data/processed/languages/CSS/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"HTML",1246,848,398,812,79003,0.0102780907054162,799,0,4.08040201005025,2,35,"expertise_z","leadership_z",0.426153118428005,1.18003173030184,0.479711450854434,1.34344002686567,"MLE",0.25,TRUE,"data/processed/languages/HTML/gh_nodes.csv","data/processed/languages/HTML/gh_edges.csv","data/processed/languages/HTML/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"Java",536,152,384,5272,73536,0.0716927763272411,22169,0,27.4583333333333,16,205,"expertise_z","leadership_z",0.279720466726293,0.918755821402665,0.0445258980461139,1.03691810895311,"MLE",0.25,TRUE,"data/processed/languages/Java/gh_nodes.csv","data/processed/languages/Java/gh_edges.csv","data/processed/languages/Java/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"JavaScript",1019,497,522,1209,135981,0.00889094800008825,4159,0,4.63218390804598,2.5,194,"expertise_z","leadership_z",0.341335323246788,1.0814556618429,0.28971809100736,1.12882735955468,"MLE",0.25,TRUE,"data/processed/languages/JavaScript/gh_nodes.csv","data/processed/languages/JavaScript/gh_edges.csv","data/processed/languages/JavaScript/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"Jupyter Notebook",506,346,160,458,12720,0.0360062893081761,394,0,5.725,2,19,"expertise_z","leadership_z",0.376861020085438,1.16524080691196,0.438940922594211,1.25025849040816,"MLE",0.25,TRUE,"data/processed/languages/Jupyter Notebook/gh_nodes.csv","data/processed/languages/Jupyter Notebook/gh_edges.csv","data/processed/languages/Jupyter Notebook/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"logs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"Python",696,274,422,1653,88831,0.018608368700116,2752,0,7.83412322274881,5,41,"expertise_z","leadership_z",0.331475736317402,0.941838009227736,0.203222732096622,1.02718012053728,"MLE",0.25,TRUE,"data/processed/languages/Python/gh_nodes.csv","data/processed/languages/Python/gh_edges.csv","data/processed/languages/Python/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"Ruby",104,75,29,76,406,0.187192118226601,266,0,5.24137931034483,4,20,"expertise_z","leadership_z",1.07051911147244,0.886613039437652,1.2391864999316,1.10310167544653,"MLE",0.25,TRUE,"data/processed/languages/Ruby/gh_nodes.csv","data/processed/languages/Ruby/gh_edges.csv","data/processed/languages/Ruby/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
"TypeScript",314,150,164,512,13366,0.038306149932665,834,0,6.24390243902439,4,65,"expertise_z","leadership_z",0.42802671748413,1.06044476139528,0.267134269442783,1.1288133565304,"MLE",0.25,TRUE,"data/processed/languages/TypeScript/gh_nodes.csv","data/processed/languages/TypeScript/gh_edges.csv","data/processed/languages/TypeScript/gh_prior_mat.csv",NA,"GitHub FullProject separate ERGM with GWESP MLE 2026-08-15 v1"
