"block_id","language_folder","language_dataset","processed_dir","node_file","edge_file","prior_file","expertise_column_used","leadership_column_used","input_number_of_nodes","isolates_removed","number_of_nodes","number_of_edges","possible_within_language_dyads","density","number_of_prior_dyads","prior_current_edges","prior_current_nonedges","mean_expertise_z","sd_expertise_z","mean_leadership_z","sd_leadership_z"
"block_001_C","C","C","data/processed/languages/C","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",155,4,151,3309,11325,0.292185430463576,5604,3245,2359,-0.00936446952484028,1.00327400779471,0.00216755753140118,0.993428092649486
"block_002_C","C++","C++","data/processed/languages/C++","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",210,13,197,2851,19306,0.147674298145654,9924,2794,7130,0.0506937458568197,0.939193076024068,-0.0247388902780315,0.990952591956743
"block_003_CSS","CSS","CSS","data/processed/languages/CSS","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",405,250,155,295,11935,0.0247172182656054,379,210,169,0.460955450757398,1.06266677399274,0.361418893722813,1.17578411167102
"block_004_HTML","HTML","HTML","data/processed/languages/HTML","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",1246,848,398,812,79003,0.0102780907054162,799,479,320,0.426153118428005,1.18003173030184,0.479711450854434,1.34344002686567
"block_005_Java","Java","Java","data/processed/languages/Java","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",536,152,384,5272,73536,0.0716927763272411,22169,5093,17076,0.279720466726293,0.918755821402665,0.0445258980461139,1.03691810895311
"block_006_JavaScript","JavaScript","JavaScript","data/processed/languages/JavaScript","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",1019,497,522,1209,135981,0.00889094800008825,4159,826,3333,0.341335323246788,1.0814556618429,0.28971809100736,1.12882735955468
"block_007_Jupyter_Notebook","Jupyter Notebook","Jupyter Notebook","data/processed/languages/Jupyter Notebook","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",506,346,160,458,12720,0.0360062893081761,394,305,89,0.376861020085438,1.16524080691196,0.438940922594211,1.25025849040816
"block_008_Python","Python","Python","data/processed/languages/Python","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",696,274,422,1653,88831,0.018608368700116,2752,1333,1419,0.331475736317402,0.941838009227736,0.203222732096622,1.02718012053728
"block_009_Ruby","Ruby","Ruby","data/processed/languages/Ruby","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",104,75,29,76,406,0.187192118226601,266,73,193,1.07051911147244,0.886613039437652,1.2391864999316,1.10310167544653
"block_010_TypeScript","TypeScript","TypeScript","data/processed/languages/TypeScript","gh_nodes.csv","gh_edges.csv","gh_prior_mat.csv","expertise_z_shared","leadership_z_shared",314,150,164,512,13366,0.038306149932665,834,409,425,0.42802671748413,1.06044476139528,0.267134269442783,1.1288133565304
