"journal","model","term","Estimate","Std_Error","z_value","p_value","Odds_Ratio","CI_95_Lower","CI_95_Upper","significance","status","error"
"Cell","m4_full","edges",-3.10147052874922,0.0186930771640277,-165.915461725991,0,0.0449830049308735,0.04336472484366,0.0466616758184464,"***","ok",NA
"Cell","m4_full","edgecov.prior",7.02606064369458,0.0566386029184727,124.050740690199,0,1125.58777368034,1007.32036683052,1257.74071286282,"***","ok",NA
"Cell","m4_full","nodecov.expertise_model_z",-0.172330163656269,0.00890647997217929,-19.3488520935957,2.08432718725533e-83,0.841701228132384,0.827135407157493,0.856523552623914,"***","ok",NA
"Cell","m4_full","absdiff.expertise_model_z",-0.228814508855167,0.0130911125200393,-17.4786144802367,2.08503961443696e-68,0.795476073588559,0.775324917273061,0.816150970456959,"***","ok",NA
"Cell","m4_full","nodecov.leadership_model_z",0.124096232500253,0.00711535541745612,17.4406231620992,4.05626944306654e-68,1.13212481295856,1.1164456764331,1.1480241440957,"***","ok",NA
"Cell","m4_full","absdiff.leadership_model_z",-0.0350832232556835,0.0112458034613113,-3.11967245171761,0.0018105224516906,0.965525058774972,0.944476004338497,0.987043222739518,"**","ok",NA
"Geology","m4_full","edges",-3.08028301101857,0.221149895399433,-13.9284850461045,4.25280641925313e-44,0.0459462515133923,0.0297854039439314,0.0708755883286258,"***","ok",NA
"Geology","m4_full","edgecov.prior",4.30359031926812,0.448083986617489,9.60442784790237,7.65820659757631e-22,73.9648750675935,30.7332676748148,178.009146363825,"***","ok",NA
"Geology","m4_full","nodecov.expertise_model_z",-0.206199288177116,0.0973529575216898,-2.11805879786627,0.0341700883816718,0.813670905132605,0.672326572905326,0.984730291111876,"*","ok",NA
"Geology","m4_full","absdiff.expertise_model_z",0.298211173059098,0.144599883798734,2.06231958992563,0.0391773191514602,1.34744630219522,1.01490539455386,1.78894658264941,"*","ok",NA
"Geology","m4_full","nodecov.leadership_model_z",-0.138732917963759,0.0929406124352662,-1.49270501160499,0.1355144209469,0.870460481772757,0.725498322878834,1.04438759737092,"","ok",NA
"Geology","m4_full","absdiff.leadership_model_z",-0.826823194613084,0.185146967647778,-4.46576687221811,7.97824504068771e-06,0.437436732699994,0.304309120274384,0.628804338636687,"***","ok",NA
"Journal of the ACM","m4_full","edges",-3.64185329254488,0.186673055955249,-19.5092605834766,9.15973937206692e-85,0.0262037357488666,0.0181745596858862,0.0377800496443198,"***","ok",NA
"Journal of the ACM","m4_full","edgecov.prior",5.33129023705405,1.23139888592398,4.32945838915041,1.49476509838837e-05,206.704499983702,18.4995872429418,2309.60560105545,"***","ok",NA
"Journal of the ACM","m4_full","nodecov.expertise_model_z",-0.251877832100239,0.13723068795542,-1.83543372005875,0.0664414512918609,0.77733969822662,0.594015431801669,1.01724126022504,"","ok",NA
"Journal of the ACM","m4_full","absdiff.expertise_model_z",0.140170824044116,0.155671223904364,0.900428611843055,0.367892200109924,1.15047031006333,0.847940530473135,1.5609372199707,"","ok",NA
"Journal of the ACM","m4_full","nodecov.leadership_model_z",0.0538441804559105,0.0668280174755734,0.805712670970546,0.420408541727997,1.05532014983835,0.925761410302149,1.20301041527682,"","ok",NA
"Journal of the ACM","m4_full","absdiff.leadership_model_z",-0.0961292343995826,0.100503088873727,-0.956480397536442,0.338829583305292,0.90834661885309,0.745936137812625,1.10611825618388,"","ok",NA
"Management Science","m4_full","edges",-5.7422231361381,0.0653437568652673,-87.8771501916859,0,0.0032076293461244,0.00282203534847343,0.00364590968985706,"***","ok",NA
"Management Science","m4_full","edgecov.prior",7.37544604933273,0.227793849331045,32.3777225372501,5.65137811925641e-230,1596.30370192343,1021.44145990698,2494.69559323206,"***","ok",NA
"Management Science","m4_full","nodecov.expertise_model_z",-0.2639219442455,0.0425183469855708,-6.20724846935055,5.39203121349215e-10,0.768033486750357,0.706623063602455,0.834780899681721,"***","ok",NA
