"journal","model","AIC","BIC","logLik","status","error"
"Cell","m0_edges",184839.877741793,184850.747844295,-92418.9388708967,"ok",NA
"Cell","m1_prior",117482.128946895,117503.869151897,-58739.0644734473,"ok",NA
"Cell","m2_prior_expertise",116526.205663541,116558.815971046,-58260.1028317707,"ok",NA
"Cell","m3_prior_expertise_similarity",116201.017651039,116244.498061044,-58096.5088255193,"ok",NA
"Cell","m4_full",115866.966858909,115932.187473917,-57927.4834294545,"ok",NA
"Geology","m0_edges",884.397776518417,890.215804456948,-441.198888259209,"ok",NA
"Geology","m1_prior",736.652031828471,748.288087705533,-366.326015914236,"ok",NA
"Geology","m2_prior_expertise",732.808201706332,750.262285521924,-363.404100853166,"ok",NA
"Geology","m3_prior_expertise_similarity",733.975462305395,757.247574059518,-362.987731152698,"ok",NA
"Geology","m4_full",713.5467740727,748.454941703884,-350.77338703635,"ok",NA
"Journal of the ACM","m0_edges",1519.10272452739,1525.81958791394,-758.551362263697,"ok",NA
"Journal of the ACM","m1_prior",1503.82867420417,1517.26240097726,-749.914337102087,"ok",NA
"Journal of the ACM","m2_prior_expertise",1501.34300858634,1521.49359874598,-747.671504293171,"ok",NA
"Journal of the ACM","m3_prior_expertise_similarity",1502.63768996432,1529.5051435105,-747.31884498216,"ok",NA
"Journal of the ACM","m4_full",1504.23203344613,1544.5332137654,-746.116016723065,"ok",NA
"journal_network_visualizations",NA,NA,NA,NA,"folder_failed","Missing *_nodes.csv in folder: journal_network_visualizations"
"Management Science","m0_edges",15539.1991581507,15550.2657508568,-7768.59957907535,"ok",NA
"Management Science","m1_prior",14516.3397840496,14538.4729694617,-7256.16989202478,"ok",NA
"Management Science","m2_prior_expertise",14481.0260353135,14514.2258134318,-7237.51301765677,"ok",NA
"Management Science","m3_prior_expertise_similarity",14482.960894415,14527.2272652394,-7237.48044720751,"ok",NA
"Management Science","m4_full",14285.4228913613,14351.8224475978,-7136.71144568065,"ok",NA
"Mind","m0_edges",1106.38115518908,1113.00540745279,-552.190577594542,"ok",NA
"Mind","m1_prior",1095.30639435149,1108.55489887891,-545.653197175746,"ok",NA
"Mind","m2_prior_expertise",1095.60120227583,1115.47395906696,-544.800601137914,"ok",NA
"Mind","m3_prior_expertise_similarity",1097.58309313432,1124.08010218916,-544.791546567161,"ok",NA
"Mind","m4_full",1045.05451486034,1084.8000284426,-516.527257430169,"ok",NA
"Nature Climate Change","m0_edges",4092.77306651011,4099.86810825772,-2045.38653325506,"ok",NA
"Nature Climate Change","m1_prior",3937.07194507296,3951.26202856818,-1966.53597253648,"ok",NA
"Nature Climate Change","m2_prior_expertise",3930.28065321888,3951.56577846171,-1962.14032660944,"ok",NA
"Nature Climate Change","m3_prior_expertise_similarity",3899.77589830299,3928.15606529344,-1945.88794915149,"ok",NA
"Nature Climate Change","m4_full",3879.53505059752,3922.1053010832,-1933.76752529876,"ok",NA
"Nature Materials","m0_edges",12295.8878589666,12304.1518142613,-6146.94392948332,"ok",NA
"Nature Materials","m1_prior",11936.6515170473,11953.1794276367,-5966.32575852366,"ok",NA
"Nature Materials","m2_prior_expertise",11918.1481905284,11942.9400564125,-5956.07409526419,"ok",NA
"Nature Materials","m3_prior_expertise_similarity",11911.781179295,11944.8370004738,-5951.89058964749,"ok",NA
"Nature Materials","m4_full",11900.5236225725,11950.1073543407,-5944.26181128623,"ok",NA
"Psychological Science","m0_edges",70963.4824063284,70973.971233928,-35480.7412031642,"ok",NA
"Psychological Science","m1_prior",70485.4552358192,70506.4328910185,-35240.7276179096,"ok",NA
"Psychological Science","m2_prior_expertise",66971.1698307879,67002.6363135869,-33482.584915394,"ok",NA
"Psychological Science","m3_prior_expertise_similarity",66936.4012240757,66978.3565344743,-33464.2006120378,"ok",NA
"Psychological Science","m4_full",63371.2423174105,63434.1752830084,-31679.6211587053,"ok",NA
"The Economic Journal","m0_edges",2556.85121699079,2565.01236545666,-1277.42560849539,"ok",NA
"The Economic Journal","m1_prior",2452.84623339233,2469.16853032408,-1224.42311669616,"ok",NA
"The Economic Journal","m2_prior_expertise",2450.86162502008,2475.34507041771,-1222.43081251004,"ok",NA
"The Economic Journal","m3_prior_expertise_similarity",2452.78980923018,2485.43440309368,-1222.39490461509,"ok",NA
"The Economic Journal","m4_full",2455.55317283393,2504.52006362918,-1221.77658641696,"ok",NA
"The New England Journal of Medicine","m0_edges",35994.6516849852,36004.5982742126,-17996.3258424926,"ok",NA
"The New England Journal of Medicine","m1_prior",34797.8188999564,34817.7120784113,-17396.9094499782,"ok",NA
"The New England Journal of Medicine","m2_prior_expertise",33911.6240494025,33941.4638170848,-16952.8120247013,"ok",NA
"The New England Journal of Medicine","m3_prior_expertise_similarity",33840.6267901116,33880.4131470213,-16916.3133950558,"ok",NA
"The New England Journal of Medicine","m4_full",33826.6786720324,33886.358207397,-16907.3393360162,"ok",NA
