"journal","number_of_nodes","number_of_edges","possible_dyads","density","number_of_prior_dyads","isolates","mean_degree","median_degree","max_degree","expertise_column_used","leadership_column_used","expertise_mean","expertise_sd","leadership_mean","leadership_sd","estimation_method"
"Cell",882,24871,388521,0.064014557771652,12047,0,56.3968253968254,21,216,"expertise_z","leadership_z",4.30242890948842e-16,1,-9.63389106459029e-16,0.999999999999999,"MLE"
"Geology",71,107,2485,0.0430583501006036,38,0,3.01408450704225,3,8,"expertise_z","leadership_z",1.5636944008805e-17,1,-4.06560544228931e-17,1,"MLE"
"Journal of the ACM",111,165,6105,0.027027027027027,4,0,2.97297297297297,3,5,"expertise_z","leadership_z",1.20024110770287e-17,1,1.97789732540202e-16,1,"MLE"
"journal_network_visualizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Management Science",973,1100,472878,0.00232618138293598,153,0,2.26104830421377,2,18,"expertise_z","leadership_z",4.09401871773388e-16,0.999999999999998,-8.60337266770162e-16,0.999999999999998,"MLE"
"Mind",106,113,5565,0.0203054806828392,8,0,2.13207547169811,2,6,"expertise_z","leadership_z",-9.5835289389813e-17,1,-1.06309091508918e-16,0.999999999999999,"MLE"
"Nature Climate Change",134,543,8911,0.060935921894288,113,0,8.1044776119403,6,21,"expertise_z","leadership_z",-9.77659081386332e-17,1,4.80544294240739e-17,1,"MLE"
"Nature Materials",240,1591,28680,0.0554741980474198,89,0,13.2583333333333,14,27,"expertise_z","leadership_z",-2.90508358110249e-16,0.999999999999999,-2.40548322002117e-17,1,"MLE"
"Psychological Science",729,7882,265356,0.0297034926664556,121,0,21.6241426611797,4,107,"expertise_z","leadership_z",1.35237043328826e-16,1,-1.38861639760387e-15,1,"MLE"
"The Economic Journal",228,222,25878,0.00857871551124507,17,0,1.94736842105263,2,4,"expertise_z","leadership_z",1.08100662924028e-16,0.999999999999999,4.16333634234434e-16,1,"MLE"
"The New England Journal of Medicine",556,3846,154290,0.02492708535874,372,0,13.8345323741007,9,42,"expertise_z","leadership_z",6.20856284049599e-16,0.999999999999998,-5.53613909311735e-16,1,"MLE"
